Days Since,Date,Boulder Name,Area,Sub Area,V Grade,Euro Grade,Stars,Soft/Hard,Flash,Attempts,Minutes,Sessions,8a.nu Points,Final Time,Comment,FA,Athletic,Cruxy,Slopey,Crimpy,Sharp,Technical,Power,Endurance,Overhang,Vertical,Slab,Roof,Scary
381,2024-05-18,"""Seven of Nine""","""Magic Wood""","""Electric Boogie""",4.5,"""6B+""",40,,"""FLASH""",1,1,1,600,14:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-18 at 14:00:00. 1 attempts, over 1 minutes. 
	Walked over and did it in my street shoes while Conor was trying Electric Boogie so I could log an ascent at Magic Wood.""",,,,,,,,,,,,,,
381,2024-05-18,"""Bosna Genial""","""Magic Wood""","""Bosna""",6.0,"""7A""",55,,"""FLASH""",1,1,1,750,15:16:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-18 at 15:15:00. 1 attempts, over 1 minutes. 
	Toehook fun to holding a rip and doing a bit of campusing. Pretty fun!""",,,,,,,,,,,,,,
382,2024-05-17,"""Carla's Boulder""","""Cresciano""","""Carla's Boulder""",3.0,"""6A""",45,,,3,10,1,400,11:10:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2024-05-17 at 11:00:00. 3 attempts, over 10 minutes. 
	Pretty dry! Cresciano's approach is rough, glad we did the drop the pads off move.""",,,,,,,,,,,,,,
382,2024-05-17,"""XP""","""Cresciano""","""Jungle Book""",9.0,"""7C""",45,,,10,30,1,900,14:30:00,"""DESCRIPTORS: CRUXY |

10 Attempts | 30 Minutes | 1 Sessions

Session #1 on 2024-05-17 at 14:00:00. 10 attempts, over 30 minutes. 
	I dabbed I think 3 times. Potentially 4. None were consequential, and the problem was not worth doing again (unclear if I could do the first move again regardless). Also had to double stack pads for the first move so my butt was higher off the ground. The ethics were not great.""",,,"""CRUXY""",,,,,,,,,,,
384,2024-05-15,"""Arabald""","""Chironico""","""Palpa Tina""",7.5,"""7B""",45,,,10,60,1,800,12:00:00,"""DESCRIPTORS: OVERHANG |

10 Attempts | 60 Minutes | 1 Sessions

Session #1 on 2024-05-15 at 11:00:00. 10 attempts, over 60 minutes. 
	Well...it's a cave and a drop off so it was at least mostly dry. Given the rain we can't really be choosey about what to climb on.""",,,,,,,,,,"""OVERHANG""",,,,
384,2024-05-15,"""Garibald""","""Chironico""","""Palpa Tina""",6.0,"""7A""",40,,,3,10,1,700,12:40:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2024-05-15 at 12:30:00. 3 attempts, over 10 minutes. 
	Well, everything I said about Arabald is true about Garibald. But it's probably worse.""",,,,,,,,,,,,,,
387,2024-05-12,"""Dosage Left""","""Brione""","""Dosage Jump""",6.0,"""7A""",55,,"""FLASH""",1,1,1,750,10:31:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-12 at 10:30:00. 1 attempts, over 1 minutes. 
	After avoiding injury on Dosage Jump. Should have done this one first as a warm up instead of trying to dyno. Overall just an okay problem, but was useful in giving me back some confidence.""",,,,,,,,,,,,,,
387,2024-05-12,"""Influencer""","""Brione""","""Influencer""",5.5,"""6C+""",45,,"""FLASH""",1,1,1,700,12:31:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-12 at 12:30:00. 1 attempts, over 1 minutes. 
	Remember to SMASH those like, follow, and subscribe buttons!""",,,,,,,,,,,,,,
388,2024-05-11,"""La Piattosa""","""Brione""","""Fuoco Di Paglia""",4.0,"""6B""",40,"""HARD""","""FLASH""",1,1,1,550,15:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-11 at 15:00:00. 1 attempts, over 1 minutes. 
	VERY Castle Rock. Looked up the name so I could log this and note how Castle Rock it is.""",,,,,,,,,,,,,,
389,2024-05-10,"""El Lasagna""","""Brione""","""Oblivion""",5.0,"""6C""",50,,,3,10,1,600,13:40:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2024-05-10 at 13:30:00. 3 attempts, over 10 minutes. 
	EL LASAGNE! A mega classic and truly happy this was my first boulder in Brione. Conor described this as ""a solid 40"" but I think he is just blind to its greatness""",,,,,,,,,,,,,,
389,2024-05-10,"""Oblivion""","""Brione""","""Oblivion""",6.0,"""7A""",65,,,4,20,1,700,14:20:00,"""DESCRIPTORS:

4 Attempts | 20 Minutes | 1 Sessions

Session #1 on 2024-05-10 at 14:00:00. 4 attempts, over 20 minutes. 
	Cool boulder! Made some Spanish friends, including Noe who we would see again later.""",,,,,,,,,,,,,,
453,2024-03-07,"""Bob's Traverse""","""Doolin""","""Basecamp""",4.0,"""6B""",50,,"""FLASH""",1,1,1,550,11:31:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 11:30:00. 1 attempts, over 1 minutes. 
	First boulder in Ireland! Kind of a perfect padless boulder. Traverse close to the ground with no dynamic movement and an easy top.""",,,,,,,,,,,,,,
453,2024-03-07,"""Kev's Traverse""","""Doolin""","""Basecamp""",5.0,"""6C""",45,,"""FLASH""",1,1,1,650,11:41:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 11:40:00. 1 attempts, over 1 minutes. 
	Reverse Bob's Traverse. A little harder, but still very safe on the padless adventure.""",,,,,,,,,,,,,,
453,2024-03-07,"""Pinch Me""","""Doolin""","""Basecamp""",3.0,"""6A""",40,"""HARD""","""FLASH""",1,1,1,450,12:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 12:00:00. 1 attempts, over 1 minutes. 
	A little unclear where this one started/finished, but I think I did it? The closest I came to taking a real fall, glad to have not.""",,,,,,,,,,,,,,
453,2024-03-07,"""Broken""","""Doolin""","""Small Cave""",4.0,"""6B""",45,,,2,5,1,502,13:05:00,"""DESCRIPTORS:

2 Attempts | 5 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 13:00:00. 2 attempts, over 5 minutes. 
	Read the route wrong on my first attempt and stepped off into a small puddle. Sad.""",,,,,,,,,,,,,,
453,2024-03-07,"""The Ramp""","""Doolin""","""Kostya's Wall""",4.0,"""6B""",50,,"""FLASH""",1,1,1,550,14:46:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 14:45:00. 1 attempts, over 1 minutes. 
	First problem I went to. Felt too hard/wet/scary to do padless. Then after doing some other problems and sort of figuring out the style/getting some confidence I walked back and did it. Stuck my hand in a small puddle at the lip but wet jugs are still jugs.""",,,,,,,,,,,,,,
453,2024-03-07,"""Sleepy Hollow""","""Doolin""","""Kostya's Wall""",5.0,"""6C""",50,,"""FLASH""",1,1,1,650,15:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-03-07 at 15:00:00. 1 attempts, over 1 minutes. 
	Very limit without a pad. Shoutout to the very Irish guy with a beta video on 27crags or else I would have never done this. Started to botch the topout which probably would have resulted in a bit of pain but sort of kept it together enough to quest over the lip without panicking.""",,,,,,,,,,,,,,
481,2024-02-08,"""Echochamber""","""Hueco Tanks""","""West Mountain""",8.0,"""7B+""",75,,,15,90,1,850,14:30:00,"""DESCRIPTORS:

15 Attempts | 90 Minutes | 1 Sessions

Session #1 on 2024-02-08 at 13:00:00. 15 attempts, over 90 minutes. 
	New contender for fave Hueco problem. Top holds are a little sketch but everything else is great. Fun day on the solo tour with Caitlin!""",,,,,,,,,,,,,,
485,2024-02-04,"""Shroom""","""Hueco Tanks""","""West Mountain""",9.0,"""7C""",55,,,10,45,1,900,13:45:00,"""DESCRIPTORS: CRUXY | CRIMPY | SHARP | OVERHANG |

10 Attempts | 45 Minutes | 1 Sessions

Session #1 on 2024-02-04 at 13:00:00. 10 attempts, over 45 minutes. 
	Hard second move, rest of it not so bad. Went left hand to top crimp and matched it. I think it's good beta.""",,,"""CRUXY""",,"""CRIMPY""","""SHARP""",,,,"""OVERHANG""",,,,
485,2024-02-04,"""The Round Room Traverse""","""Hueco Tanks""","""West Mountain""",0.0,"""5A""",70,,"""FLASH""",1,1,1,300,14:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-02-04 at 14:00:00. 1 attempts, over 1 minutes. 
	Such a cool room!""",,,,,,,,,,,,,,
485,2024-02-04,"""Uncut Yogi""","""Hueco Tanks""","""East Mountain""",6.0,"""7A""",60,,,5,15,1,700,17:30:00,"""DESCRIPTORS: CRUXY |

5 Attempts | 15 Minutes | 1 Sessions

Session #1 on 2024-02-04 at 17:15:00. 5 attempts, over 15 minutes. 
	Had 20 minutes before we had to leave and banged it out just in time.""",,,"""CRUXY""",,,,,,,,,,,
488,2024-02-01,"""Osterizer""","""Hueco Tanks""","""East Mountain""",3.0,"""6A""",50,,"""FLASH""",1,1,1,450,10:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-02-01 at 10:00:00. 1 attempts, over 1 minutes. 
	I have no notes!""",,,,,,,,,,,,,,
488,2024-02-01,"""Below Me""","""Hueco Tanks""","""East Mountain""",8.0,"""7B+""",40,"""SOFT""",,22,65,2,850,10:35:00,"""DESCRIPTORS: CRIMPY |

22 Attempts | 65 Minutes | 2 Sessions

Session #1 on 2022-12-31 at 11:00:00. 20 attempts, over 60 minutes. 
	Should have done it on my 3rd try, then regressed, then should have done it on my ~10th try before regressing really hard and tearing open my pinky. Was pretty disappointed with my performance, but that's how it goes sometimes.

Session #2 on 2024-02-01 at 10:30:00. 2 attempts, over 5 minutes. 
	Shoulda day flashed but got confused. Not a great problem but it sure is there.""",,,,,"""CRIMPY""",,,,,,,,,
488,2024-02-01,"""Dry Dock""","""Hueco Tanks""","""East Mountain""",7.0,"""7A+""",55,,,5,15,1,750,16:15:00,"""DESCRIPTORS: POWER |

5 Attempts | 15 Minutes | 1 Sessions

Session #1 on 2024-02-01 at 16:00:00. 5 attempts, over 15 minutes. 
	Shoutout to Justin for FA'ing the sit finish! I wussed out and did the top like a damn fool.""",,,,,,,,"""POWER""",,,,,,
490,2024-01-30,"""Rude Boys""","""Hueco Tanks""","""North Mountain""",8.0,"""7B+""",50,,,15,90,1,850,12:30:00,"""DESCRIPTORS: CRIMPY |

15 Attempts | 90 Minutes | 1 Sessions

Session #1 on 2024-01-30 at 11:00:00. 15 attempts, over 90 minutes. 
	Hot hot hot! Enjoyed some great egg bag after this. Will enjoy egg bag again when we go back for Caitlin's day2 flash (hope I didn't jinx it!)""",,,,,"""CRIMPY""",,,,,,,,,
492,2024-01-28,"""Meatmaker""","""Hueco Tanks""","""East Spur""",5.0,"""6C""",45,,"""FLASH""",1,1,1,650,14:16:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-01-28 at 14:15:00. 1 attempts, over 1 minutes. 
	Quite the chossy toppy! But the bottom was decent.""",,,,,,,,,,,,,,
492,2024-01-28,"""Junior Varsity""","""Hueco Tanks""","""East Spur""",3.0,"""6A""",50,,"""FLASH""",1,1,1,450,14:21:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-01-28 at 14:20:00. 1 attempts, over 1 minutes. 
	Incredibly futuristic rocks climb!""",,,,,,,,,,,,,,
492,2024-01-28,"""Meat Varsity""","""Hueco Tanks""","""East Spur""",4.0,"""6B""",70,,"""FLASH""",1,1,1,550,14:31:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-01-28 at 14:30:00. 1 attempts, over 1 minutes. 
	WHAT. A. LINE. Justin had the vision, and then followed that up with the SIT FINISH vision! i *MUST* come back to finish that incredible project!""",,,,,,,,,,,,,,
492,2024-01-28,"""Crash Dummy Left""","""Hueco Tanks""","""West Mountain""",7.0,"""7A+""",40,,,5,15,1,750,15:45:00,"""DESCRIPTORS:

5 Attempts | 15 Minutes | 1 Sessions

Session #1 on 2024-01-28 at 15:30:00. 5 attempts, over 15 minutes. 
	Not sure if this really counts as a different problem, but wanted to log it to note that I did it better than the youtube vid.""",,,,,,,,,,,,,,
521,2023-12-30,"""Backdoor Man""","""Hueco Tanks""","""East Mountain""",2.0,"""5C""",50,,"""FLASH""",1,1,1,400,10:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2023-12-30 at 10:00:00. 1 attempts, over 1 minutes. 
	Pretty okay!""",,,,,,,,,,,,,,
521,2023-12-30,"""Lowest Common Denominator""","""Hueco Tanks""","""East Mountain""",3.0,"""6A""",45,,,2,5,1,402,15:05:00,"""DESCRIPTORS:

2 Attempts | 5 Minutes | 1 Sessions

Session #1 on 2023-12-30 at 15:00:00. 2 attempts, over 5 minutes. 
	Backsplatted after kicking my heel on first try. Didn't even use the cheater rock!""",,,,,,,,,,,,,,
522,2023-12-29,"""Between The Sheets""","""Hueco Tanks""","""West Mountain""",4.0,"""6B""",55,"""HARD""",,15,90,1,500,12:00:00,"""DESCRIPTORS: ENDURANCE |

15 Attempts | 90 Minutes | 1 Sessions

Session #1 on 2023-12-29 at 10:30:00. 15 attempts, over 90 minutes. 
	Insanely hard and weird. Also kind of fun.""",,,,,,,,,"""ENDURANCE""",,,,"""ROOF""",
522,2023-12-29,"""Moonshine Roof""","""Hueco Tanks""","""East Mountain""",4.0,"""6B""",70,,"""FLASH""",1,1,1,550,15:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2023-12-29 at 15:00:00. 1 attempts, over 1 minutes. 
	Such cool rail features!""",,,,,,,,,,,,,,
525,2023-12-26,"""Animal Acts""","""Hueco Tanks""","""West Mountain""",5.0,"""6C""",55,"""SOFT""","""FLASH""",1,1,1,650,11:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2023-12-26 at 11:00:00. 1 attempts, over 1 minutes. 
	Mini slashface! Exceptionally cold""",,,,,,,,,,,,,,
525,2023-12-26,"""Crash Dummy""","""Hueco Tanks""","""West Mountain""",7.0,"""7A+""",60,,,8,30,2,750,12:50:00,"""DESCRIPTORS:

8 Attempts | 30 Minutes | 2 Sessions

Session #1 on 2023-12-25 at 17:15:00. 3 attempts, over 10 minutes. 
	Did all the moves before having to walk out

Session #2 on 2023-12-26 at 12:30:00. 5 attempts, over 20 minutes. 
	Took two tries more than I wanted, still good! There was a guy there without pants on for his kneebar pad, it was cool. I successfully kneebarred though so that was cool too!""",,,,,,,,,,,,,,
525,2023-12-26,"""Sex After Death""","""Hueco Tanks""","""East Spur""",8.0,"""7B+""",65,,,14,61,3,850,15:31:00,"""DESCRIPTORS: ATHLETIC | CRIMPY | OVERHANG |

14 Attempts | 61 Minutes | 3 Sessions

Session #1 on 2018-01-30 at 16:30:00. 5 attempts, over 30 minutes. 
	Tried it before the park closed.

Session #2 on 2023-12-20 at 15:30:00. 8 attempts, over 30 minutes. 
	Got close and then it started raining. It's sharp

Session #3 on 2023-12-26 at 15:30:00. 1 attempts, over 1 minutes. 
	Wheeee! Felt way better when it was less cold, and didn't punt the top this time""",,"""ATHLETIC""",,,"""CRIMPY""",,,,,"""OVERHANG""",,,,
526,2023-12-25,"""The Trickster""","""Hueco Tanks""","""East Mountain""",2.0,"""5C""",70,,,3,10,1,350,11:40:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2023-12-25 at 11:30:00. 3 attempts, over 10 minutes. 
	SECRET BETA!!! Top was actually kind of tricky though""",,,,,,,,,,,,,,
526,2023-12-25,"""Star Power""","""Hueco Tanks""","""West Mountain""",5.0,"""6C""",60,,,3,45,1,600,13:15:00,"""DESCRIPTORS: ENDURANCE | OVERHANG |

3 Attempts | 45 Minutes | 1 Sessions

Session #1 on 2023-12-25 at 12:30:00. 3 attempts, over 45 minutes. 
	I'm a sport climber now!!""",,,,,,,,,"""ENDURANCE""","""OVERHANG""",,,,
529,2023-12-22,"""Paleozoic**""","""Hueco Tanks""","""North Mountain""",5.0,"""6C""",40,,,3,10,1,600,14:10:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2023-12-22 at 14:00:00. 3 attempts, over 10 minutes. 
	Uhhh...V5/9? I gotta assume the book is leaving out some important info about holds being off or something? Or this is the softest 9 of all time.""",,,,,,,,,,,,,,
529,2023-12-22,"""See Spot Run""","""Hueco Tanks""","""North Mountain""",6.0,"""7A""",65,,"""FLASH""",1,1,1,750,17:26:00,"""DESCRIPTORS: CRIMPY | SCARY |

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2023-12-22 at 17:25:00. 1 attempts, over 1 minutes. 
	Very scary. Joaquin Team ABC'd me to the top and Caitlin's phone light helped me see the holds. Curious how scary it would have been during the daylight when I could better see where to go.""",,,,,"""CRIMPY""",,,,,,,,,"""SCARY"""
531,2023-12-20,"""Bad Religion""","""Hueco Tanks""","""East Spur""",8.0,"""7B+""",70,"""SOFT""",,6,16,2,850,11:15:00,"""DESCRIPTORS: ATHLETIC |

6 Attempts | 16 Minutes | 2 Sessions

Session #1 on 2022-12-26 at 11:00:00. 1 attempts, over 1 minutes. 
	Tried once and got two (2) flappers! So I stopped trying. Caitlin did it though! And Joaquin did New Religion and Sage got very close!

Session #2 on 2023-12-20 at 11:00:00. 5 attempts, over 15 minutes. 
	No knee pain! Didn't do it especially clean but made it happen right after Joaquin.""",,"""ATHLETIC""",,,,,,,,,,,,
533,2023-12-18,"""Rembrandt Pussyhorse""","""Hueco Tanks""","""East Mountain""",4.0,"""6B""",40,"""SOFT""","""FLASH""",1,1,1,550,11:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2023-12-18 at 11:00:00. 1 attempts, over 1 minutes. 
	4 Casetrain""",,,,,,,,,,,,,,
533,2023-12-18,"""Ultramega""","""Hueco Tanks""","""East Mountain""",8.0,"""7B+""",60,,,15,90,1,850,14:00:00,"""DESCRIPTORS: ENDURANCE |

15 Attempts | 90 Minutes | 1 Sessions

Session #1 on 2023-12-18 at 12:30:00. 15 attempts, over 90 minutes. 
	GoTrunks reunited, almost a 10 year reunion! Power endurance off the couch. Hi Casey""",,,,,,,,,"""ENDURANCE""",,,,,
885,2022-12-31,"""Assault of the Killer Bimbos""","""Hueco Tanks""","""East Mountain""",5.0,"""6C""",50,,"""FLASH""",1,1,1,650,17:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2022-12-31 at 17:00:00. 1 attempts, over 1 minutes. 
	Some arete-ish thing at the 3 B's. I think Casey told me the name but I forgot it. I'm logging it so that he reads this and reminds me what it was called. EDIT: Casey came through.""",,,,,,,,,,,,,,
888,2022-12-28,"""Jigsaw""","""Hueco Tanks""","""East Spur""",5.0,"""6C""",65,,,2,5,1,602,10:35:00,"""DESCRIPTORS: OVERHANG |

2 Attempts | 5 Minutes | 1 Sessions

Session #1 on 2022-12-28 at 10:30:00. 2 attempts, over 5 minutes. 
	Luckily blacked out and made it look easy. Jacket send. im a bitch, im a boss.

Comment by Caitlin Maloney.

One try to warm up, one try to do it. Kept the jacket on. Full team send with Caitlin, Joaquin, and Sage. Conor did a dumpy 9.""",,,,,,,,,,"""OVERHANG""",,,,
