estimated_date,author,topic,medium,source,quote
2015-03-19,"""Hockey Abstract (@HockeyAbstract)""","""Sports(Hockey)""","""Twitter""",,"""The save percentage of (non-ELC) goalies making $900,000 or less this year is .917 - roughly league average. Replacement level is high."""
2015-03-18,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Let's take chessboxing up notch and do sports-scouts-stats. You have to play a sport, scout yourself and then crunch your own numbers."""
2015-03-22,"""Larry Coon (@LarryCoon)""","""Sports(Basketball)""","""Twitter""",,"""If you're arguing the merits of decisions made in 2011, base your argument on what we knew and what the plans were in 2011, not on what we know today (uness it's a sentence that starts with, ""In retrospect..."")"""
2015-01-18,"""Gregg Popovich""","""Sports(Basketball)""","""Press Conference""",,"""""Since the last time you saw the Jazz, they've been playing .500 ball. What have you noticed about them that they've improved?""    Pop: ""I haven't watched them.""    ""Have you scouted them or anything?""    Pop: ""No. I don't do that.""    ""Do you know anything at all?""    Pop: ""I know that the two sides of an isosceles triangle are equal."""""
2015-02-28,"""Kyle Dubas""","""Sports(Hockey)""","""Powerpoint""",,"""The Big Lesson.  -Accept randomness, uncertainty, chance, and luck as major contributors to success or failure in the hockey business.  -The difference between knowing and valuing."""
2015-03-12,"""Rob Vollman""","""Sports(Hockey)""","""Internet""","""https://www.sportsnet.ca/hockey/nhl/calgary-flames-defying-numbers/""","""The way I explain it is like this, if you have the puck 45 percent this month, and 45 percent next month, it's probably going to be 45 percent the month after that. But if your shooting percentage is 10.5 percent this month, and 10.5 percent next month, I can't tell you what it's going to be the month after that. We have no idea where shooting percentage goes (because it is largely luck-based) but we do have one number we can trust a fair deal. Which is, how much you have the puck."""
2015-03-22,"""Kyle Boddy""","""Sports(Baseball)""","""Facebook""",,"""Since I've posted a few photos of my 3-year old son Tycho to my Twitter feed (@drivelinebases), some have asked me about how I will train my son. I won't be ""training"" him at all, really. Here are the rules I'd laid out:    1) It must be his idea. No dragging him to the park to hit unwanted batting practice or throw or field grounders. If he wants to do it, I will make myself available as best as possible.    2) It has to be fun. If it's not fun, we're not doing it. No reason to hate the game at age 9 because your father makes the game terrible.    3) Everything will be done at full intensity and speed, with errors/mistakes not counting. Praise will be heaped on him for swinging out of his shoes and throwing a ball as far as possible 60 degrees away from the target. There is a limited time in youth athletes to develop speed, power, and intent. Sacrificing those for present-day success is the fastest track to stalling out later in life. It also teaches poor life lessons; namely that passion is something that should be routinely derailed for what's important right now - a clear lack of understanding how delayed gratification plays a role in learning, making, and doing.    3a) I will rarely throw balls overhand at him at anything less than 80% of my arm strength (admittedly nothing special, but to a 3 year old, pretty fast). I don't throw balls and nail him in the face with a 65 MPH heater of course, but I throw them against a fence/tarp/net comfortably away from his body, which he picks up and then hits/throws back. I never want him to associate overhand throwing with ""easing it in there."" Underhand throws for field work is fine, overhand is not.    4) He has to bat left and throw right. (Kidding, but he already grips the bat left-handed. Why ruin a good thing?)"""
2015-03-27,"""Diamond Leung (@diamond83)""","""Sports(Basketball)""","""Twitter""",,"""Steve Kerr: ""This is what happens in science and medicine. You make advancements, you get more information, and you react accordingly."""""
2015-03-27,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""Theoretically the advantage you can gain from superior scouting is much larger than what you can gain from superior analytics."""
2015-03-29,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Player development is not the land of the nerds. It is the last bastion, the last fortress for the old guard. You may think with so many smart GMs, this would be rampant. It is not. Because player development is the domain of the jocks. And then there must be commitment. To stand behind a good process. To evaluate the results fairly. To create org-wide buy-in."""
2015-04-07,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""Rule of thumb: Don't believe/trust anyone who makes money directly off their ideas/opinions."""
2015-04-11,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""LA missed because they went 3-15 in OT, plain and simple. Which is either bad luck or the team that won 3 Game 7s last year became #unclutch"""
2014-12-09,"""Katie (@KatieOldham)""","""Comedy""","""Twitter""",,"""Ever realised how fucking surreal reading a book actually is? You stare at marked slices of tree for hours on end, hallucinating vividly."""
2015-04-15,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""I think I finally figure out why so many radio and TV commentators and analysts say meaningless and stupid things: They are trained to speak fluidly and quickly. In order to speak extemporaneously but meaningfully, you have to hem and haw and speak slowly and carefully. You can't do that on a regular basis on network TV or radio."""
2015-04-19,"""Tangotiger (@tangotiger)""","""Sports(Baseball)""","""Twitter""",,"""Whenever a broadcaster says ""momentum"", it's code for ""I have nothing else to say, but I'm being paid to say something."""""
2015-04-22,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""Log5 is an approximation . No one knows the real expected outcome when you match up pitcher with X talent and batter with Y."""
2015-04-25,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""While we're at it, if you're team projections are based on player projections and you have a good player projection model, a team's w/l record over almost any time period is virtually worthless information."""
2015-04-25,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Stop treating every series as a referendum for or against analytics. The playoffs are chaotic and random. That's what makes them so fun."""
2015-05-11,"""DOCTOR Greg (@StatsInTheWild)""","""Sports(Other)""","""Twitter""",,"""I'll say it again: most popular ""advanced"" sports analysts are just dudes with free time and an introductory understanding of statistics."""
2015-05-13,"""Nate Duncan (@NateDuncanNBA)""","""Sports(Basketball)""","""Twitter""",,"""One thing that I'd consider low-hanging coaching fruit is having guys start running back as soon as they hit the ground after a corner 3."""
2015-05-18,"""Dan Szymborski (@DSzymborski)""","""Sports(Baseball)""","""Twitter""",,"""Hubris gets punished. I describe my goal for ZiPS to be ""the least terrible way to project the future"" for a reason."""
2015-05-28,"""Connor Grossman (@connorgrossman)""","""Sports(Basketball)""","""Twitter""",,"""Draymond Green on @KNBR, reacting to Dwight Howard's quote about still being a champion in his mind: ""Cool. That's the spirit."""""
2015-06-09,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""If players ""bust"" it's not always a bad pick. Some orgs don't just draft poorly, they develop poorly. Hard to separate the two. #MLBdraft"""
2015-06-11,"""Tangotiger (@tangotiger)""","""Sports(Baseball)""","""Twitter""",,"""One run is roughly 3 basketball points."""
2015-06-16,"""Dr. Steve Brule (@_Steve_Brule)""","""Comedy""","""Twitter""",,"""Strep Furry and Warrior hunks beat up LeBringus. Sorry sucker. #ForYourBrasketball"""
2015-06-17,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Here are the reasons public analytics lag team analytics - proprietary data, math is hard, statistics is hard, coding is hard. And learning to scrape and clean data, plus maintain a database isn't fun, either. But along with the msth it's the keys to the universe."""
2015-03-01,"""cory snearowski (@corysnearowski)""","""Comedy""","""Twitter""",,"""Update on Dad Watching Discovery Channel: he just muttered ""you son of a bitch"" to a Hippo who chased off the lesser-dominate Hippo he liked"""
2015-06-17,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""My preference is to keep an original copy of the data set, issues and all, and then write scripts to automate the cleaning process. That way you can easily replicate the cleaning process later if necessary (which is almost always the case)."""
2015-09-15,"""Carson Cistulli (@cistulli)""","""Comedy""","""Twitter""",,"""People say Latin has no practical use. That's preposterous. For example, I personally used it to help preserve my virginity for years."""
2015-04-29,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""my favorite animals at the zoo are just the random birds walking around like they belong. Go home pigeon, this is fancy bird town"""
2015-09-14,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""The ocean is very relaxing until you remember whats going on in there"""
2015-09-12,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""If someone tries to give you condescending advice, respond: ""is that a line from Frasier?"" and just keep insisting they're quoting Frasier"""
2015-07-01,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""Don't vaccinate your kids, I hate kids"""
2015-07-20,"""Mike Ginn (@shutupmikeginn)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""When I ask you something that I could Google it's because I like you and want to hear how you explain it"""
2015-05-31,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""A great excuse for being late is ""I don't know how to tell time"""""
2015-05-09,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""if you're wearing a blue tooth headset I will assume Will Smith is hiding in the bushes feeding you smooth lines to say to girls"""
2015-05-09,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""Her: music tastes? i like anything besides rap & country   Kid Rock: Dang"""
2015-03-28,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""Things were going well with my date, until she noticed my Roomba was a Frisbee glued to a bunch of rats"""
2015-03-08,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""My Uber driver thought I was friendly sitting in the passenger seat but I asked him to drive me up to MakeOut Point and now he seems nervous"""
2015-03-01,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""My funeral instructions to my family were to have me cremated, and I told my best friends under no circumstances should I be cremated."""
2015-09-27,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""I don't understand baseball's fascination with pointless hustle that, at best, makes you tired and, at worst, gets you injured."""
2015-10-07,"""Sky Kalkman (@Sky_Kalkman)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""You know what turns out to be bad advice? ""Treat others as you'd like to be treated."" You should really treat others how *they* want."""
2015-10-19,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""The same is true in pitching mechanics/training, too. Peer-reviewed journals are the height of cronyism and repetition."""
2015-10-19,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""""Groundballs are great!""   ""All groundballs? What if the pitcher has a very low walk rate and his pitch types lend itself to-""   ""GET GROUNDERS"""""
2015-10-23,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Reality check - if two teams are evenly matched, even the best analytics will only pick the winner 50% of the time."""
2015-11-01,"""Corner Three Hoops (@corner3hoops)""","""Sports(Basketball)""","""Twitter""",,"""Best thing about [Montrezl] Harrell is he understands exactly what he is. That's an underappreciated NBA skill."""
2014-08-01,"""Josh Gondelman(@joshgondelman)""","""Comedy""","""Twitter""",,"""If I owned an island, I would 100% call it: ""Isle Of Itwhenyoucallmebigpoppa."""""
2014-10-20,"""ghost mom (@radtoria)""","""Comedy""","""Twitter""",,"""People who are offended when I breastfeed in public need to STFU. What I'm doing is natural and strengthens the bond between me and my dog."""
2015-11-06,"""Probability Fact (@ProbFact)""","""Data Science""","""Twitter""",,"""If P(A | B) > P(A) then P(B | A) > P(B). If B makes A more likely then A makes B more likely."""
2015-11-11,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""For independent Poissons, the exponent for a sport's Pythagorean expectation is roughly sqrt(average points scored by both teams per game)."""
2015-11-20,"""Dean Oliver (@DeanO_Lytics)""","""Sports(Basketball)""","""Twitter""",,"""Just heard phrase that Player X is ""worth his weight in gold."" Assuming 300 lb player, that's only $5-6M. Many plyrs worth weight in gold."""
2013-10-19,"""chuuch (@ch000ch)""","""Comedy""","""Twitter""",,"""hi, grandma? can u come pick me up from my rap battle? it's over. no, i lost. he saw u drop me off & did a pretty devastating rhyme about it"""
2015-12-07,"""Dan Szymborski (@DSzymborski)""","""Sports(Baseball)""","""Twitter""",,"""Baez has questions, but that's the point. Rebuilding teams ought to use their lousiness as opportunity to answer questions."""
2015-12-12,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""""What is the biggest mistake teams make in terms of draft analysis/scouting?""    Easily this: They don't look enough into how the players train or what their college does to prepare them. Stanford. Also what works at the college level in NCAAF (athleticism) works at the pro level. NCAABB is about bunts and stupid shit. Ridiculous."""
2013-04-13,"""Ken Jennings (@KenJennings)""","""Comedy""","""Twitter""",,"""WAYS TO KILL 2 BIRDS W/ 1 STONE:   1. Ricochet   2. Retrieve, rethrow   3. Line up birds precisely   4. Huge boulder   5. Use lovebirds, 2nd dies of grief"""
2015-12-19,"""Sky Kalkman (@Sky_Kalkman)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""""Are you a therapist? You're such a good listener."" Nope, I'm an introvert who is struggling to come up with things to say."""
2015-12-19,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Be careful not to confuse player value to a team with market value."""
2015-12-21,"""Eric Tulsky (@NHLEricT)""","""Sports(Hockey)""","""Twitter""",,"""I often get asked how to get into the business, so I'll share some thoughts: People often come into it thinking they'll build an amazing model, keep the details secret, and sell the proprietary results to teams. That's actually a pretty rare outcome. Most of the people who make a living at this seem to either: a) build a great (ideally automated) method of data collection and sell the data they collect to teams, or b) do good work in the public sphere, build a good reputation, and sell themselves to teams. There are lots of paths to success, of course. But from what I've seen, those are the two most common."""
2015-12-26,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""If you want the best and brightest, you'll need a process other than democratic election. People are too easily fooled and manipulated. The same is true for normal hiring practices. People vote for and hire people they like, not the best, brightest or most qualified."""
2015-12-28,"""Dan Szymborski (@DSzymborski)""","""Sports(Baseball)""","""Twitter""",,"""If you're rebuilding, never wait to trade the pitcher. Now, you don't expect abuse charges, but pitchers break all the time."""
2016-01-03,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""We can think of baseball player projections as ""waves"" (which we can't observe). When they actually play, these collapse to a ""particle"". This is just a way if saying that you don't observe a probability distribution, you observe a random sample. But probability distributions are still real (and important)."""
