Name,Author,Other Authors,Published,Read,Pages,Genre,Sub Genre,Peak,Consistency,Timelessness,Desired Effects,Information Gain,Premise,Plot,Wit,Length Grade,Adjustment,Overall,ISBN,Open Library
Spirited Ejaculations of a New Enthusiast,Carson Cistulli,,2015,2015,,Poetry,Comedy,45,50,55,60,40,75,,70,60,,54.7,,
"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,,2017,2025,368,Sports,,55,55,55,50,60,55,55,40,60,,54.0,9781501146190,OL25396501W
Point Your Face At This: Drawings,Demetri Martin,,2013,2013,,Comedy,,60,50,60,60,30,40,,70,60,,53.9,9781455512058,OL19964890W
This is a Book,Demetri Martin,,2011,2013,288,Comedy,,60,50,60,60,30,40,,70,60,,53.9,9781846145216,OL15737509W
How We Know What Isn't So: The Fallibility of Human Reason in Everyday Life ,Thomas Gilovich,,1991,2019,216,Psychology,,40,65,50,60,70,60,,45,40,,53.8,9781439106747,OL4459377W
The Logic of Sports Betting,Ed Miller,Matthew Davidow,2019,2022,237,Sports,,50,55,60,50,60,60,,45,40,,53.6,9781096805724,OL24581969W
Project Hail Mary,Andy Weird,,2021,2024,496,Science Fiction,,60,50,55,50,50,50,50,55,50,,53.0,9789189298323,OL21745884W
The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,,2012,2020,552,Mathematics,Psychology,55,50,55,50,60,60,,40,40,,52.6,9786051733814,OL16700318W
Some Common Weaknesses Illustrated,Carson Cistulli,,2006,2015,82,Poetry,Comedy,40,50,50,50,40,65,,70,60,,50.5,9780976951612,OL8846038W
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Jim Collins,1989,2021,374,Self-help,,45,60,60,40,60,60,,30,20,,49.7,9785961402513,OL2629977W
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,,2007,2021,421,Psychology,,50,40,50,45,55,65,,40,40,,48.6,9780141906201,OL3295030W
Catboy,Benji Nate,,2017,2019,168,Comedy,,50,50,50,60,30,35,,60,40,,47.9,9781945509711,OL19734434W
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are ",Seth Stephens-Davidowitz,Steven Pinker,2017,2020,338,Mathematics,Psychology,60,30,50,40,60,50,,30,30,,46.1,9780062390851,OL17713946W
Mathletics: A Scientist Explains 100 Amazing Things About the World of Sports,John D. Barrow,,2012,2015,320,Sports,Mathematics,30,55,60,40,60,50,,30,40,,45.8,9781448182800,OL16585394W
The Best Team Money Can Buy: The Los Angeles Dodgers Wild Struggle to Build a Baseball Powerhouse,Molly Knight,,2015,2017,336,Baseball,,40,50,50,50,40,50,50,30,40,,45.1,9781476776309,OL20006574W
The Will To Whatevs: A Guide to Modern Life,Eugene Mirman,,2009,2014,228,Comedy,,40,30,50,60,30,50,,60,50,,44.7,9780061770494,OL14981679W
A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,,1973,2021,440,Economics,,40,50,40,40,50,60,,40,30,,44.2,9780393019995,OL2000283W
Sh*t My Dad Says,Justin Halpern,,2010,2014,158,Comedy,,40,50,50,40,40,30,,55,50,,43.8,9780061992704,OL15449158W
Hockey Abstract Presents... Stat Shot: The Ultimate Guide to Hockey Analytics,Rob Vollman,"Tom Awad, Iain Fyffe",2016,2017,356,Hockey,,50,40,40,40,50,50,,40,30,,43.7,9781770413092,OL20468814W
We Are Legion (We Are Bob),Dennis E. Taylor,,2016,2026,345,Science Fiction,,40,40,45,35,40,55,45,40,35,,41.7,9781668221570,OL19123425W
