Estimated Date,Estimated Time,Boulder Name,Area,Sub Area,V Grade,Attempts,Minutes,Comment
2018-04-22,0:00:00,The Nine Iron,Leavenworth,Tumwater Canyon,10.0,,,"""Couldn't do the crux"""
2018-04-18,0:00:00,Pimpsqueak,Leavenworth,Icicle Canyon,8.0,,,"""Hurt my wrist doing the pistol grip"""
2018-04-18,0:00:00,The Lion's Den,Leavenworth,Icicle Canyon,8.0,,,"""Couldn't link"""
2018-04-18,0:00:00,The Shield,Leavenworth,Icicle Canyon,7.0,,,"""Couldn't latch the hold"""
2018-02-08,0:00:00,Moss Niesley,Roy,Upper Mesteno,5.0,,,
2018-02-08,0:00:00,Sock Hands,Roy,Upper Mesteno,7.0,,,
2018-02-07,0:00:00,Destroy the Castle,Roy,Middle Mesteno,7.0,,,"""Couldn't figure it out"""
2018-02-07,0:00:00,ROYGBIV,Roy,Middle Mesteno,10.0,,,"""Couldn't do crux"""
2018-02-05,0:00:00,Best of Friends,Roy,Best of Friends,8.0,,,"""Couldn't do top section"""
2018-02-04,0:00:00,Desert Spring,Roy,Middle Mesteno,8.0,,,"""Couldn't dyno"""
2018-02-04,0:00:00,Golden Casket,Roy,Middle Mesteno,9.0,,,"""Couldn't stick the last move"""
2018-02-04,0:00:00,Puddle Jumper,Roy,Middle Mesteno,6.0,,,"""Couldn't deal with the sloper match"""
2018-02-04,0:00:00,Try Angular,Roy,Middle Mesteno,6.0,,,"""Hamstring hurt on crux mantle"""
2018-01-31,0:00:00,Free Willy,Hueco Tanks,North Mountatin,10.0,,,"""Still like ~20 inches from the jug"""
2018-01-31,0:00:00,Girls of Juarez,Hueco Tanks,North Mountatin,4.0,,,"""Streetshoe Failure #2"""
2018-01-28,0:00:00,Girls of Juarez,Hueco Tanks,North Mountatin,4.0,,,"""Streetshoe Failure #1"""
2018-01-25,0:00:00,Free Willy,Hueco Tanks,North Mountatin,10.0,,,"""Couldn't generate for the dyno"""
2018-01-04,0:00:00,Mr. Moran,Red Rocks,Gateway Canyon,7.0,,,"""Didn't have the juice to mantle"""
2018-01-04,0:00:00,UltraViolet,Red Rocks,Red Springs,8.5,,,"""Couldn't link"""
2018-01-01,0:00:00,Ode to the Modern Mayor,Red Rocks,Stampede,9.0,,,"""Stuck the first move twice!"""
2018-01-01,0:00:00,Up the Line,Red Rocks,Willow Springs,6.0,,,"""Couldn't link"""
2017-12-30,0:00:00,Finders Fee,Bishop,Buttermilks,9.0,,,"""In the heat with a ton of people at the boulder before bailing to Red Rocks"""
2017-12-29,0:00:00,High Plains Drifter,Bishop,Buttermilks,7.0,,,"""With 30 of my closest friends (and LKV9)"""
2017-12-29,0:00:00,Seven Spanish Angels,Bishop,Buttermilks,6.0,,,
2017-12-29,0:00:00,Toxic Avenger,Bishop,Happy Boulders,9.0,,,"""The day there were ~125 cars at the Happies"""
2017-12-28,0:00:00,Finders Fee,Bishop,Buttermilks,9.0,,,
2017-10-21,0:00:00,Lindner's Roof,Moe's Valley,TeePee Boulder,9.0,,,"""Couldn't do the crux"""
2017-10-21,0:00:00,Maxipad,Joe's Valley,Right Fork,6.0,,,"""On the Joe's Valley Climbing Fest day; with ""remember when I flashed Saigon?"" guy"""
2017-10-19,0:00:00,Pandemic,Joe's Valley,Right Fork,7.0,,,"""Couldn't top out"""
2017-10-19,0:00:00,The Flu,Joe's Valley,Right Fork,8.0,,,"""Couldn't top out"""
2017-10-17,0:00:00,Electric Fence,Joe's Valley,Right Fork,7.0,,,"""Punted off the top and couldn't get back"""
2017-10-16,0:00:00,They Call Him Jordan,Joe's Valley,Left Fork,8.0,,,"""Felt improbable"""
2017-10-16,0:00:00,Worm Turns,Joe's Valley,Left Fork,11.0,,,"""Got bombarded by 8 Coloradians"""
2017-09-15,0:00:00,A Buttload of Sausage,Tahoe,Woods Lake,8.0,,,"""Punted on topout and then was too tired"""
2017-08-17,0:00:00,Axel,Squamish,Grand Wall,8.0,,,"""Fell off the last move of Minor Threat...twice more"""
2017-08-16,0:00:00,Axel,Squamish,Grand Wall,8.0,,,"""Fell off the last move of Minor Threat"""
2017-08-16,0:00:00,Lounge Act,Squamish,Grand Wall,6.0,,,"""With Teddy/Jolie; Jolie did it; tall man beta doesn't work for me"""
2017-08-15,0:00:00,The Bulb,Squamish,Grand Wall,8.0,,,"""With Teddy; couldn't do big move"""
2017-08-13,0:00:00,This Monkey's Gone to Heaven,Squamish,The Apron,7.0,,,"""Couldn't stick big move again; flapped"""
2017-08-08,0:00:00,Darksided,Squamish,North Walls,10.0,,,"""Couldn't do first or last move"""
2017-07-31,0:00:00,Defenders of the Faith,Squamish,The Apron,9.0,,,"""Couldn't do first move (may have started low?)"""
2017-07-24,0:00:00,Hunt's Arete,Squamish,Grand Wall,8.0,,,"""Couldn't do top; day Mackenzie hurt her wrist on Viper"""
2017-07-01,0:00:00,Body Glove,Tahoe,Castle Peak,8.0,,,"""Half assed attempts in the morning"""
2017-07-01,0:00:00,Nietzsche Girls Sit,Tahoe,The Saddle,10.0,,,"""Couldn't link"""
2017-07-01,0:00:00,Skeeter Glen,Tahoe,Castle Peak,9.0,,,"""With Conor/Caitlin, couldn't link"""
2017-07-01,0:00:00,Trojan Horse,Tahoe,Castle Boulder,7.0,,,"""Couldn't do topout"""
2017-05-31,0:00:00,Campfire Arete Sit,Tahoe,Boreal,8.0,,,"""Couldn't do first move"""
2016-08-01,0:00:00,This Monkey's Gone to Heaven,Squamish,The Apron,7.0,,,"""Couldn't stick big move in a variety of ways"""
2016-07-09,0:00:00,Living a Dream,Fort Ross,Fort Ross,6.0,,,
2016-07-09,0:00:00,Living La Vida Loca,Fort Ross,Fort Ross,8.0,,,
2016-07-09,0:00:00,The Shazinky,Fort Ross,Fort Ross,8.0,,,
2016-07-02,0:00:00,The Real Deal,Tahoe,Donner Summit,10.0,,,"""Couldn't link"""
2016-07-01,0:00:00,Air Trojan,Tahoe,Castle Boulder,8.0,,,"""Stuck the dyno...still can't do topout"""
2016-07-01,0:00:00,Nietzsche Girls Sit,Tahoe,The Saddle,10.0,,,"""Couldn't link"""
2016-07-01,0:00:00,Prince of Thieves,Tuolumne Meadows,Pennroyal Boulders,6.0,,,"""Couldn't mantle"""
2016-07-01,0:00:00,The Fun House,Tahoe,Castle Peak,6.0,,,"""Couldn't do the finish...again"""
2016-07-01,0:00:00,The Real Deal,Tahoe,Donner Summit,10.0,,,"""Couldn't link"""
2016-07-01,0:00:00,Trojan Horse,Tahoe,Castle Boulder,7.0,,,"""Couldn't do topout"""
2016-07-01,0:00:00,Waimea Arete,Castle Rock,Castle Rock,6.0,,,"""Scared trying the last move"""
2016-06-23,0:00:00,Solar Power Sit,Tuolumne Meadows,Sunrise Boulder,9.0,,,"""Couldn't do first move"""
2016-06-11,0:00:00,Soul Train,Tahoe,The Saddle,10.0,,,"""Couldn't do first move"""
2016-04-17,0:00:00,Our Generation,Yosemite,The Wave,7.0,,,"""Couldn't do the top"""
2016-04-17,0:00:00,The Diamond,Yosemite,Candyland,8.0,,,"""Tried briefly; was very hot"""
2016-04-17,0:00:00,Wall to Wall Carpet,Yosemite,Bridalveil Boulders,9.0,,,"""Couldn't do first move"""
2016-04-16,0:00:00,Across The Tracks,Yosemite,Intersection Boulders,10.0,,,"""Couldn't link"""
2016-04-16,0:00:00,Cocaine Corner,Yosemite,Camp 4,5.0,,,"""With Tony/Skyler/etc. group"""
2016-03-30,0:00:00,Finger Hut,Joe's Valley,Right Fork,10.0,,,"""Super cold; saw girl who took 45 minute rests in between attempts"""
2016-03-28,0:00:00,No Substance,Joe's Valley,Right Fork,8.0,,,"""Got scared with 2.5 pads"""
2016-03-27,0:00:00,Dirty Harry,Joe's Valley,Right Fork,7.0,,,"""Tried once and ankle hurt"""
2016-03-25,0:00:00,Mr. Moran,Red Rocks,Gateway Canyon,7.0,,,"""Didn't have the juice to mantle"""
2016-02-29,0:00:00,Spock Was Here,Yosemite,El Cap Boulder,6.0,,,"""Couldn't do the top section"""
2016-02-29,0:00:00,Spock Was Here Right,Yosemite,El Cap Boulder,8.0,,,"""Couldn't do the top section"""
2016-02-21,0:00:00,Rave,Bishop,Happy Boulders,7.0,,,"""Couldn't figure it out"""
2016-02-20,0:00:00,Brian's Project,Bishop,Buttermilks,8.0,,,"""Brief attempt in the cold (too cold)"""
2016-02-20,0:00:00,Fly Boy Sit,Bishop,Buttermilks,8.0,,,"""Mackenzie sent; New Best Friend Greg was there"""
2016-02-20,0:00:00,Solitaire,Bishop,Buttermilks,8.0,,,"""With Kyra Condie"""
2016-02-20,0:00:00,The Upside,Bishop,Buttermilks,8.0,,,"""With funny British guys who like climbing naked"""
2016-02-07,0:00:00,Jedi Mind Tricks,Bishop,Buttermilks,4.0,,,"""Very hot; with Ryan and Mackenzie"""
2016-02-05,0:00:00,Atari,Bishop,Happy Boulders,6.0,,,"""With ~20 people included Oregon people and Matisyahue looking guy"""
2016-01-19,0:00:00,Anti Hero,Bishop,Sad Boulders,5.0,,,"""In the rain with Mackenzie/Ryan; after hurting ankle on the Hulk"""
2016-01-17,0:00:00,Painted Cave,Bishop,Buttermilks,6.0,,,"""Couldn't figure it out"""
2016-01-17,0:00:00,Solitaire,Bishop,Buttermilks,8.0,,,"""With Ryan Bauer"""
2016-01-16,0:00:00,Leary Bard Arete,Bishop,Buttermilks,5.0,,,
2015-11-24,0:00:00,High Plains Drifter,Bishop,Buttermilks,7.0,,,"""Very cold; had a cold"""
2015-11-24,0:00:00,Saigon,Bishop,Buttermilks,6.0,,,"""Very cold; had a cold"""
2015-11-24,0:00:00,Seven Spanish Angels,Bishop,Buttermilks,6.0,,,"""Very cold; had a cold"""
2015-11-24,0:00:00,Soul Slinger,Bishop,Buttermilks,9.0,,,"""Very cold; had a cold"""
2015-10-30,0:00:00,The Real Deal,Tahoe,Donner Summit,10.0,,,"""Did all the moves except dyno"""
2015-10-10,0:00:00,Skeeter Glen,Tahoe,Castle Peak,9.0,,,"""With Teddy/Jolie, couldn't link"""
2015-10-02,0:00:00,Solar Power Sit,Tuolumne Meadows,Sunrise Boulder,9.0,,,"""Couldn't do first move"""
2015-09-20,0:00:00,Out of Your League,Tuolumne Meadows,Tenaya Hillside Boulders,9.0,,,"""Couldn't do first move"""
2015-09-19,0:00:00,Conquistadors,Tuolumne Meadows,Olmsted Point,8.0,,,"""Couldn't do top section"""
2015-08-15,0:00:00,Lounge Act,Squamish,Grand Wall,6.0,,,"""Mackenzie's first day in Squamish (she did it)"""
2015-08-01,0:00:00,Deforestation,Castle Rock,Parking Lot Rock,9.0,,,
2015-07-25,0:00:00,Tears of Tammy Faye Baker Sit,Tahoe,Soda Springs,9.0,,,"""Couldn't do the kneebar move"""
2015-07-02,0:00:00,Living a Dream,Fort Ross,Fort Ross,6.0,,,
2015-07-02,0:00:00,Living La Vida Loca,Fort Ross,Fort Ross,8.0,,,
2015-07-02,0:00:00,The Shazinky,Fort Ross,Fort Ross,8.0,,,
2015-07-01,0:00:00,Deforestation,Castle Rock,Parking Lot Rock,9.0,,,
2015-07-01,0:00:00,Nietzsche Girls Sit,Tahoe,The Saddle,10.0,,,
2015-07-01,0:00:00,Trojan Horse,Tahoe,Castle Boulder,7.0,,,"""Couldn't do topout"""
2015-06-13,0:00:00,The Fun House,Tahoe,Castle Peak,6.0,,,"""Couldn't do the finish"""
2015-05-20,0:00:00,Sharma Face,Tahoe,Snowshed,6.0,,,"""Got scared at top with the wind"""
2014-08-31,0:00:00,I Believe I Can Fly,Rocklands,de Pakhuys - Arch Valley,9.0,,,"""Close to hitting the jug"""
2014-08-31,0:00:00,Weichei,Rocklands,de Pakhuys - Plateau,10.0,,,"""Tried briefly on last day in Rocklands"""
2014-08-30,0:00:00,Roadside Slab,Rocklands,The Pass - Roadside,7.5,,,
2014-08-30,0:00:00,Sunset Arete,Rocklands,The Pass - Roadside,9.0,,,"""Tried the first move once and it felt sharp"""
2014-08-30,0:00:00,Un pincon d'herbes arete,Rocklands,The Pass - Roadside,9.0,,,
2014-08-29,0:00:00,Royksopp,Rocklands,The Pass - Roadcrew,11.0,,,"""Tried the first moves a couple times"""
2014-08-29,0:00:00,Ulan Bator,Rocklands,The Pass - Roadcrew,8.0,,,
2014-08-27,0:00:00,White Mazda Clan,Rocklands,Lower Pakhuis - Riverside,10.0,,,"""Tried briefly in the rain with Keenan before he went to Mooiste"""
2014-08-21,0:00:00,Black Mango Chutney,Rocklands,8 Day Rain,10.0,,,"""Out of my league"""
2014-08-18,0:00:00,The Dirty German,Rocklands,de Pakhuys - Plateau,9.0,,,"""Extremely shouldery"""
2014-07-16,0:00:00,Out of Your League,Tuolumne Meadows,Tenaya Hillside Boulders,9.0,,,"""Did the upper section; can't do first move"""
2014-07-15,0:00:00,Conquistadors,Tuolumne Meadows,Olmsted Point,8.0,,,"""Couldn't do bottom section"""
2014-07-01,0:00:00,Deforestation,Castle Rock,Parking Lot Rock,9.0,,,
2014-07-01,0:00:00,Nietzsche Girls Sit,Tahoe,The Saddle,10.0,,,
2014-05-24,0:00:00,Space Cowboy,Tahoe,Lost in Space,9.0,,,"""All of the mosquitos came to play"""
2014-05-24,0:00:00,The Gerbler,Tahoe,Lost in Space,8.0,,,"""Didn't do first move; flashed from 1 move in"""
2014-05-23,0:00:00,Slam Dunk,Tahoe,Castle Peak,7.0,,,"""After the monster hike at Castle Peak, with Conor/Teddy/Keenan/Marquis/Mackenzie"""
2013-08-24,0:00:00,Tatonka,Squamish,The Apron,8.0,,,"""Last day of 2013 trip with Conor (day he made burgers and I had avocado for first time)"""
2013-07-02,0:00:00,Living a Dream,Fort Ross,Fort Ross,6.0,,,
2013-07-02,0:00:00,Living La Vida Loca,Fort Ross,Fort Ross,8.0,,,
2013-07-02,0:00:00,The Shazinky,Fort Ross,Fort Ross,8.0,,,
2012-08-19,0:00:00,Living a Dream,Fort Ross,Fort Ross,6.0,,,
2012-08-19,0:00:00,Living La Vida Loca,Fort Ross,Fort Ross,8.0,,,
2012-08-19,0:00:00,The Shazinky,Fort Ross,Fort Ross,8.0,,,
2012-08-01,0:00:00,Groundation,Castle Rock,Cave Rock,7.0,,,
2012-02-25,0:00:00,Sharma Arete,Castle Rock,Indian Rock,9.0,,,"""With Conor and Nicky"""
2011-07-01,0:00:00,Waimea Arete,Castle Rock,Castle Rock,6.0,,,"""With Sage and Alvaro."""
2010-07-01,0:00:00,Impossible Wall,Berkeley,Mortar Rock,8.0,,,
2010-06-15,0:00:00,Groundation,Castle Rock,Cave Rock,7.0,,,
2010-03-01,0:00:00,Seven Spanish Angels,Bishop,Buttermilks,6.0,,,"""With LA guys with zipper butt pockets."""
