superAdj_rnk,adj_rnk,avg_rnk,ofp_rnk,*data*,first_name,last_name,age,position,bats,throws,p_type,cur_team,*overall*,superAdj_FV,adj_FV,avg_FV,ofp_FV,flag_value,shortlist_value,shortlist_notes,*FV*,FV_pts,fg_FV,mi_grade,mlbp_FV,fgd_FV,mlbd_FV,fg_OFP_present,fg_OFP_future,mlb_OFP,*rnk*,fg100,mlbp_top100,fgd_top100,fgd_rank,mlbd_rank,*bio*,prospect_id,height,weight,*eta*,fg_eta,mi_eta,mlbp_eta,*extras*,mi_blurb,mlbp_blurb,fgd_blurb,mlbd_blurb,fg_video,fgd_video,*nsbl*,NSBL_team,salary,contract,*sign*,fgd_pick_team,fgd_pick_num,fg_signed,fg_signedFrom,mlbp_signed,*edu*,fgd_school,fgd_college_commit,mlbd_school,mlbd_grade,*team*,fg_team,mi_team,mlbp_team,*flags*,sleeper,breakout,upside,personal_traits,*intang*,fg_athleticiscm,fg_frame,fg_performance,*fg hit*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*fh pit*,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Other_present,Command_present,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,Other_future,Command_future,*mlb hit*,hit,power,run,arm,field,*mlb pit*,fastball,change,curve,slider,cutter,splitter,other,control
260,251,256,342,"""|""","""Lazaro""","""Armenteros""",19.03,"""LF""","""R""","""R""","""professional""","""OAK""","""|""",46.6,46.1,45.0,49.9,0.50,,,"""|""",405,45,"""B-""",50,,,35.7,50.7,51.1,"""|""",0,,,,,"""|""",1074,"""72""","""182""","""|""",2021,"""2021""",2021,"""|""","""Age 18, signed out of Cuba for $3,000,000; solid debut season with .288/.376/.474 line in rookie ball, four homers, 10 steals, 16 walks, 48 strikeouts in 156 at-bats; 60 speed, 50 or 55 raw power, needs polish with swing mechanics but draws positive reviews for bat speed and overall athleticism; glove needs work as well but could be OK in center with more experience; long way off but I like the upside and have a good intuitive feeling on this one. ETA 2021.""","""Scouting grades: Hit: 50 | Power: 55 | Run: 60 | Arm: 45 | Field: 55 | Overall: 50    Ranked No. 4 on MLB.com's list of the Top 30 international prospects, Armenteros was expected to sign in February 2017 until his agency, Culture 39, refused to represent him after allegedly receiving a death threat. After finding new representation, the then-17-year-old Cuban outfielder signed with Oakland for $3 million at the start of the 2016-17 international period. He made his professional debut the next year in the Dominican Summer League, where he appeared in just six games before heading stateside for an impressive showing in the Rookie-level Arizona League.    Armenteros stands out for his hitting ability, raw power, speed and overall athleticism, the combination of which gives him the potential for four average-or-better tools. His bat speed is explosive and fuels his projection as an average hitter with above-average power, though his bat path through the zone, as well as his approach and overall plate discipline, will need to be ironed out.    Armenteros is expected to lose some of his speed and athleticism as he continues to grow into his already physically strong and mature frame. He's best-suited long term for left field, where his below-average arm strength is a clean fit. That doesn't leave much room for defensive flexibility, but Armenteros has the offensive upside to easily offset those concerns.""",,,"""http://www.youtube.com/embed/vc84x37Htwg?autoplay=1""",,"""|""","""WAS""",0.500,"""XXX""","""|""",,,"""J2 2016""","""Cuba""","""July 2, 2016 - OAK""","""|""",,,,,"""|""","""OAK""","""oak""","""OAK""","""|""",0,0,1,1,"""|""",,,,"""|""",25,20,55,60,40,40,45,50,60,60,50,40,"""|""",,,,,,,,,,,,,,,,,"""|""",50,55,60,45,55,"""|""",,,,,,,,
261,266,337,104,"""|""","""TJ""","""Friedl""",22.80,"""CF""","""L""","""L""","""professional""","""CIN""","""|""",46.6,45.8,43.3,52.7,0.25,"""0.5""","""performance; breakout""","""|""",260,45,,45,,,45.0,55.0,48.2,"""|""",0,,,,,"""|""",1886,"""70""","""170""","""|""",2019,,2019,"""|""",,"""Scouting grades: Hit: 50 | Power: 40 | Run: 70 | Arm: 45 | Field: 55 | Overall: 45    It doesn't happen often for a college hitter to go through a season hitting over .400 and not be noticed or taken in the Draft. That's because most didn't realize Friedl was a Draft-eligible sophomore at Nevada-Reno until after the Draft. He was playing well for the U.S. National Collegiate Team when a bidding war of sorts ensued, won by the Reds, who gave him $735,000 to sign. Friedl hit well in the Midwest League (.850 OPS) during his first full season, then fizzled a bit after a promotion to the Florida State League.    Friedl has a good idea of what he wants to do at the plate, with a contact-oriented approach. He puts the ball in play, sending line drives to the gaps without striking out much and drawing a decent amount of walks. While he's never going to be a huge home run guy, he does have a little sneaky pop and might run into a few homers. His plus speed works on both sides of the ball, allowing him to take an extra base as well as steal a few of them. It also plays well in the outfield. He's seen time in all three outfield spots, but he's better suited in center or left because of his fringy arm.    In all likelihood, Friedl will fit the fourth outfielder mold really well. If his bat comes around a little bit more, he could be an everyday outfielder, though it would have to be in center since he doesn't fit the offensive profile for a corner spot.""",,,"""http://www.youtube.com/embed/P3qreU_0HUc?autoplay=1""",,"""|""",,,,"""|""",,,"""Undrafted 2016""","""Nevada""","""Aug. 4, 2016 - CIN""","""|""",,,,,"""|""","""CIN""",,"""CIN""","""|""",1,0,0,0,"""|""",,,,"""|""",40,30,45,70,50,45,55,40,50,70,60,45,"""|""",,,,,,,,,,,,,,,,,"""|""",50,40,70,45,55,"""|""",,,,,,,,
262,295,257,468,"""|""","""Jordan""","""Groshans""",18.56,"""3B""","""R""","""R""","""draft""","""TOR""","""|""",46.6,45.4,45.0,48.9,0.25,"""1""","""team (Blue Jays);""","""|""",180,,,,45,50,,,48.9,"""|""",,,0,28,31,"""|""",2410,"""76""","""190""","""|""",,,,"""|""",,,"""Brief:  Boom or bust type infielder. Has big raw power and a flat-planed swing that need to be reconciled.     Full Report:  Groshans is a pretty volatile power-hitting prospect who currently plays shortstop on his high school team but probably ends up at third base, and maybe an outfield corner, at maturity. A portion of the industry would also like to smooth out Groshans' swing, but he's shown natural bat control and has the strength in his hands to do damage even if he doesn't time his stride well. This was evident last summer in the PG All American game when Groshans tomahawked a 95mph fastball off the Western Metal Supply building at Petco. There's some swing and miss risk here, which is particularly troubling if you don't like Groshans' hands and think he ends up in right field, but the tools package is electric and he could be selected in the middle of round 1 and probably doesn't get out of the comp round.""","""Scouting grades: Hit: 50 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 50  Though Magnolia (Texas) High has sent more than two dozen players to college programs, it never has had a player drafted before the 20th round. That should change in 2018, as the Bulldogs have a pair of potential first-rounders in Groshans and right-hander Adam Kloffenstein. Groshans is one of the better all-around hitters in the prep class and doesn't have a glaring weakness.  Groshans has a quick right-handed stroke and has a track record of catching up to and punishing quality fastballs on the showcase circuit. With his strength, balance and mature approach, he makes consistent hard line-drive contact. Once he fills out his rangy 6-foot-4 frame and adds some loft to his swing, he could have plus power.  An average runner out of the batter's box and quicker once he gets going, Groshans is athletic for his size but won't stay at shortstop after he leaves Magnolia. His solid arm will play anywhere in the infield, where he probably fits best at third base but may have a chance to stick up the middle at second, and he has the makeup to get the most out of his ability. If he attends college, he'll reunite with his brother Jaxx at Kansas.""",,"""http://www.youtube.com/embed/f-TuuK1yB5k?autoplay=1""","""|""","""CIN""",0.500,"""XXX""","""|""","""TOR""",12,,,,"""|""","""Magnolia HS TX""","""Kansas""","""Magnolia (Texas) HS""","""Senior""","""|""",,,,"""|""",0,0,0,1,"""|""","""+""","""+""","""""","""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",50,55,50,55,50,"""|""",,,,,,,,
263,233,224,343,"""|""","""Jeren""","""Kendall""",22.32,"""CF""","""L""","""R""","""professional""","""LA""","""|""",46.5,46.5,45.3,49.9,0.00,,,"""|""",408,45,"""B-/B""",50,,,42.1,50.7,49.6,"""|""",0,,,,,"""|""",854,"""72""","""190""","""|""",2021,"""2020""",2020,"""|""","""Age 21, first round pick in 2017 from Vanderbilt, was a candidate for one/one before the college season began but an erratic spring dropped him to 23rd overall; impressive tools with 70-speed, 60-arm, 60-glove, at least 50 raw power, but serious concerns about contact and hitting approach, hit .221/.290/.400 with 13 walks, 42 strikeouts in 140 at-bats in Low-A; you can draw a scenario where he becomes an All-Star but theres an equally valid one where he never hits enough to be more than a fifth outfielder; I suspect that the California League will mask his issues and we wont get a true feel for how serious they are until he reaches Double-A. ETA 2020.""","""Scouting grades: Hit: 45 | Power: 50 | Run: 70 | Arm: 55 | Field: 60 | Overall: 50    Kendall could have gone in the top three rounds as a Wisconsin high schooler in 2014 if he weren't set on attending Vanderbilt, where he developed into a potential No. 1 overall pick for 2017. Though he was the best college athlete available, his college strikeout rate (24 percent) raised concerns about his hitting ability and enabled him to slide all the way to Los Angeles at No. 23. After signing for a slightly over-slot $2,897,500, he batted just .221 in low Class A while whiffing at a 27 percent clip.    If Kendall hits, he'll be a star, and the Dodgers are encouraged by the adjustments he began to make to his setup and left-handed swing during instructional league. His tendency to miss hittable pitches at times and his so-so selectivity create questions about his pitch recognition. But he also has the bat speed and deceptive strength to hit 15-20 homers per season and the plus-plus speed to be a basestealing threat.    Kendall can help a team win in multiple ways even if he doesn't hit for a high average. In addition to his speed and power, he also provides quality center-field defense and has a stronger arm than most players at the position. He has earned comparisons to a vintage Jacoby Ellsbury.""",,,"""http://www.youtube.com/embed/r2TAFjALtKw?autoplay=1""",,"""|""",,,,"""|""",,,"""1st rd 2017""","""Vanderbilt""",,"""|""",,,,,"""|""","""LAD""","""lad""","""LA""","""|""",0,0,0,0,"""|""",,,,"""|""",30,30,55,70,50,50,40,50,55,70,60,50,"""|""",,,,,,,,,,,,,,,,,"""|""",45,50,70,55,60,"""|""",,,,,,,,
264,283,258,256,"""|""","""Jordyn""","""Adams""",18.62,"""CF""","""R""","""R""","""draft""","""LAA""","""|""",46.5,45.5,45.0,50.4,1.00,,,"""|""",180,,,,45,50,,,50.4,"""|""",,,0,19,37,"""|""",2415,"""74""","""175""","""|""",,,,"""|""",,,"""Brief:  Adams is one of the top wide receivers in the country and was a unrefined, middle tier prep prospect until he had a breakout tournament performance in late March. His elite toolset reminds some of Byron Buxton or Royce Lewis, but the track record is very short.    Full Report:  Adams was not talked about as a top-3 round prospect in this class before late-March's NHSI tournament in his home town of Cary. Adams wasn't even one of the top dozen prospects at the event when it started, but looked like a sure first day pick by the end of the event. He offers top of the scale athleticism, which you'd expect from one of the top dozen wide receiver prospects in the country. He has 80 speed, a loose swing, plus bat control, projectable raw power and athletic actions. Adams wasn't a top tier baseball prospect entering the spring in part because of limited reps, since he was seen as likely to go to North Carolina to play football, where his father is the defensive line coach. He's now in line for a multi-million dollar bonus offer and is expected to sign. We think he goes in the 10-17 range.""","""Scouting grades: Hit: 50 | Power: 45 | Run: 75 | Arm: 45 | Field: 55 | Overall: 50  Adams intrigued scouts with his athleticism before arriving at the National High School Invitational in March, and his breakout performance there will earn him a seven-figure bonus -- if he's willing to sign. Also a four-star wide receiver recruit, he's committed to play football and baseball at North Carolina, where his father Deke is a defensive line coach. Teams believe he may prefer to play football, though some will consider him in the first round if they believe he can be lured away from the Tar Heels.  After looking overmatched at times on the showcase circuit last summer, Adams had no problem handling quality pitching at the NHSI. He made repeated hard contact with his quick right-handed swing and displayed at least average raw power. He employs a big leg kick and doesn't have much track record offensively, but he has the upside of a solid hitter with 15-20 homers per year.  Adams' most explosive tool is his speed, which earns top-of-the-scale 80 grades from some evaluators. Just with his sheer quickness, Adams can steal bases and cover a lot of ground in center field, and he potentially could be elite in both areas if he devoted his full attention to baseball. He has fringy arm strength, which is more than playable in center, and it could improve if he got on a throwing program.""",,"""http://www.youtube.com/embed/dsaEZPyd02Y?autoplay=1""","""|""","""TAM""",0.500,"""XXX""","""|""","""LAA""",17,,,,"""|""","""Green Hope HS NC""","""North Carolina""","""Green Hope (N.C.) HS""","""Senior""","""|""",,,,"""|""",1,1,1,1,"""|""","""++""","""+""","""--""","""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",50,45,75,45,55,"""|""",,,,,,,,
265,237,196,821,"""|""","""Sheldon""","""Neuse""",23.47,"""3B""","""R""","""R""","""professional""","""OAK""","""|""",46.4,46.4,46.7,46.1,0.00,,,"""|""",420,45,"""B""",50,,,40.0,46.4,46.8,"""|""",0,,,,,"""|""",1727,"""72""","""195""","""|""",2019,"""late 2018""",2019,"""|""","""Age 23, drafted by Washington Nationals in second round from University of Oklahoma in 2016, traded to Athletics in Sean Doolittle/Ryan Madson deal; combined to hit .321/.382/.502 with 16 homers, 14 steals, 40 walks, 112 strikeouts in 442 at-bats between Low-A, High-A, and Double-A, then hit well in Arizona Fall League; I tend to fall in love with this type of player; tools dont stand out, best physical tool is his throwing arm, raw power is average but he knows how to get to it and has hit at every level; not a butcher at shortstop though range is limited, fits better at third base in long run. ETA late 2018. (UPDATE 3/14/2018, Neuse and Beck flipped on the Oakland list to reflect placement on Top 175 list, no change in grade)""","""Scouting grades: Hit: 50 | Power: 50 | Run: 45 | Arm: 60 | Field: 50 | Overall: 50    Neuse improved his Draft stock in 2016 as an Oklahoma junior by hitting .360/.465/.646 with a career-best 10 home runs before the Nationals made him their second-round pick. After he continued to swing the bat well early in his first full season, the A's landed Neuse, left-hander Jesus Luzardo and reliever Blake Treinen in the July deal that sent Sean Doolittle and Ryan Madson to D.C. Neuse posted a .380 average in 40 games while reaching Double-A after joining the A's system, and then he continued to elevate his stock in the Arizona Fall League, where he finished in the top three in the circuit in RBIs, doubles, extra-base hits, runs scored, total bases, slugging and home runs.     Neuse's right-handed swing is short and simple, but he also keeps his barrel in the hitting zone for an extended period of time and drives the ball across the whole field. He has above-average raw power and already knows how to get to it in games, a notion supported by his 16 home runs and 26 doubles across three levels in 2017. Some scouts still question how it will translate at higher levels because his game does have some swing-and-miss tendencies, albeit with sound overall plate discipline.    Neuse is a fringe-average runner who shows good instincts on the bases and in the field. A shortstop in college, Neuse saw time there as well as third base prior to being dealt, but he handled the hot corner exclusively after joining the A's. He profiles as an average defender there, with soft hands, good range and a plus arm that produced 94 mph off the mound in college. Regardless of his position, Neuse has the hitting ability to profile as a big league regular.""",,,"""http://www.youtube.com/embed/qqp5Daofb6w?autoplay=1""",,"""|""",,,,"""|""",,,"""2nd rd 2016""","""Oklahoma""",,"""|""",,,,,"""|""","""OAK""","""oak""","""OAK""","""|""",0,0,0,0,"""|""",,,,"""|""",35,30,60,40,45,60,40,55,60,40,50,60,"""|""",,,,,,,,,,,,,,,,,"""|""",50,50,45,60,50,"""|""",,,,,,,,
266,238,212,623,"""|""","""Brett""","""Phillips""",24.01,"""OF""","""L""","""R""","""professional""","""MIL""","""|""",46.4,46.4,46.0,47.5,0.00,,,"""|""",414,45,"""B/B-""",50,,,46.4,47.9,46.8,"""|""",0,,,,,"""|""",798,"""72""","""185""","""|""",2018,"""2018""",2018,"""|""","""Age 23, originally drafted by Houston Astros in sixth round in 2012 from high school in Seminole, Florida, traded to Brewers in Carlos Gomez deal; hit .305/.377/.567 in Triple-A with 19 homers, 45 walks, 129 strikeout in 383 at-bats, then hit .276/.351/.448 in 87 major league at-bats, albeit with 34 strikeouts; his 2017 was much better than 2016 (.229/.332/.397 in Double-A) although the friendlier PCL environment was at least part of that; that said, the power is real and he also has an excellent throwing arm, but opinions about his pure hitting ability remain mixed and contact frequency is still an issue; could have wild swings in batting average and OBP, some seasons where he hits like an All Star and others where he struggles to hit .230; ETA 2018 (UPDATED 3/14/2018, slight grade uptick to match placement on Top 175 prospects list).""","""Scouting grades: Hit: 45 | Power: 50 | Run: 55 | Arm: 80 | Field: 55 | Overall: 50  Phillips was the Astros' Minor League Player of the Year in 2014, two years after the club made him a sixth-round pick out of the prep ranks. They dealt him to the Brewers in July the following year, packaging him with Adrian Houser, Domingo Santana and Josh Hader to land Carlos Gomez and Mike Fiers. Phillips struggled in his first full Double-A campaign but rebounded in 2017 in the hitter-friendly Triple-A Pacific Coast League to earn his first Major League callup in June. He went on to appear in 37 games over four stints with Milwaukee, hitting .276 with four home runs and five steals.   Phillips has a short, compact swing from the left side that produces hard contact across the whole field, though at times he can get too long with his stroke and pull-happy with his approach. His power has played at every level in his career, and there's enough raw power and patience to project for average power as a Major Leaguer. Phillips' above-average speed makes him a threat on the basepaths, and he's worked hard to improve his basestealing technique and reads.   That Phillips offers above-average defense as a center fielder also qualifies him to play both corner-outfield spots. His incredible arm produced in September the second-hardest throw (104 mph) ever recorded by Statcast and has long served him well across all three outfield positions. With an intriguing blend of power, speed, hitting ability and defense, Phillips has the ceiling of an everyday player and the floor of a productive fourth outfielder.""",,,"""http://www.youtube.com/embed/1bhg4uirVYc?autoplay=1""",,"""|""","""MIL""",0.500,"""1st""","""|""",,,"""6th rd 2012""","""Seminole HS (FL)""",,"""|""",,,,,"""|""","""MIL""","""mil""","""MIL""","""|""",0,0,0,0,"""|""",,,,"""|""",40,45,55,55,50,70,40,50,55,55,55,70,"""|""",,,,,,,,,,,,,,,,,"""|""",45,50,55,80,55,"""|""",,,,,,,,
267,239,225,396,"""|""","""Dillon""","""Tate""",24.08,"""RHP""","""R""","""R""","""professional""","""NYY""","""|""",46.4,46.4,45.3,49.4,0.00,,,"""|""",408,45,"""B-/B""",50,,,46.7,50.0,48.3,"""|""",0,,,,,"""|""",1097,"""74""","""195""","""|""",2019,"""2019""",2019,"""|""","""Age 23, first round pick by the Texas Rangers in 2015, traded to Yankees in Carlos Beltran deal; posted 2.81 ERA in 83 innings between High-A and Double-A with 63/24 K/BB, 71 hits; history of nagging injuries and durability concerns but effective when healthy in 17; mid-90s heat, often higher, both slider and change-up are plus on his best days, giving hope that he can start, but hes never exceeded 83 innings in pro ball; probably winds up in pen. ETA 2019.""","""Scouting grades: Fastball: 60 | Slider: 55 | Changeup: 55 | Control: 50 | Overall: 50    In three years at UC Santa Barbara, Tate went from pitching three innings as a freshman to starring as a reliever as a sophomore to moving into the rotation and becoming the No. 4 overall pick in the 2015 Draft as a junior. After he signed with the Rangers for $4.2 million, his stuff regressed and he fell out of favor quickly. Texas dealt him with relief prospects Erik Swanson and Nick Green to get Carlos Beltran from the Yankees in July 2017, and while Tate has looked better with his new organization, his future still is somewhat murky.    Tate resisted incorporating some delivery changes the Rangers wanted in his first full pro season, after which his fastball dipped into the upper 80s and his secondary pitches flattened out. Since New York allowed him to return to his college mechanics after the trade, his four-seam fastball again sits at 93-95 mph and tops out at 98, and he's also working on a two-seamer to induce ground balls. Both his hard slider and changeup show signs of becoming plus offerings, though his slider isn't as sharp as it was at UCSB while his changeup has improved.    Whether Tate will wind up as a starter or reliever is unclear. Though he throws strikes with all four of his pitches, he doesn't miss as many bats as he should with his pure stuff, which could play up in shorter stints. He has added some strength since turning pro but still has to prove his durability after missing time with hamstring issues in 2016 and shoulder woes in 2017.""",,,"""http://www.youtube.com/embed/fRtkNQHSqXE?autoplay=1""",,"""|""","""PHI""",0.500,"""XXX""","""|""",,,"""1st rd 2015""","""UC Santa Barbara""",,"""|""",,,,,"""|""","""NYY""","""nyy""","""NYY""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",55,50,,55,,,,40,55,55,,55,,,,45,"""|""",,,,,,"""|""",60,55,,55,,,,50
268,240,259,282,"""|""","""Ryan""","""Castellani""",22.17,"""RHP""","""R""","""R""","""professional""","""COL""","""|""",46.4,46.4,45.0,50.2,0.00,,,"""|""",405,45,"""B-""",50,,,45.0,51.7,47.5,"""|""",0,,,,,"""|""",892,"""76""","""220""","""|""",2019,"""late 2019""",2018,"""|""","""Age 21, second round pick in 2014 from high school in Arizona, posted 4.81 ERA with 132/47 K/BB in 157 innings in Double-A, 163 hits; most days works at 90-94 but can hit 96-97 at his best, while mixing in a slider and change-up; although he throws strikes both secondary pitches are erratic and he seldom had both of them working in the same game; he did finish well, throwing 14 shutout innings in his last two starts of the year with 15 strikeouts in 14 innings; potential number three starter if he finds more consistency; ETA late 2019.""","""Scouting grades: Fastball: 60 | Slider: 55 | Changeup: 50 | Control: 50 | Overall: 50  The Rockies eased Castellani into pro ball after signing him for $1.1 million as a 2014 second-rounder, not allowing him to work more than five innings in a game until August of the following year. The approach has paid off, as Castellani led the Class A Advanced California League in innings (167 2/3) and strikeouts (142) in 2016 and topped the Double-A Texas League in the same categories (157 1/3, 132) last year. He was the youngest ERA qualifier (ages 20 and 21) in each circuit as well.  Castellani's fastball sat around 90 mph in high school but now runs from 92-97 mph with arm-side run and sink that should help him deal with Coors Field. When he doesn't get around his low-80s slider, he shows the ability to throw it for strikes and to back-foot it against left-handers. His fading changeup slipped a little in 2017 but can be a solid pitch when he maintains his arm speed and slot when he throws it.   Colorado officials compare his less-than-smooth mechanics to Max Scherzer's, and like the three-time Cy Young Award winner in his younger days, Castellani's biggest need is consistent command. He has a fast arm and repeats his delivery, which allows him to throw strikes. If he can do a better job of locating his pitches in the zone, he could become a No. 3 starter.""",,,,,"""|""","""SD""",0.500,"""XXX""","""|""",,,"""2nd rd 2014""","""Brophy Prep (AZ)""",,"""|""",,,,,"""|""","""COL""","""col""","""COL""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",50,50,,50,,,,40,50,55,,55,,,,50,"""|""",,,,,,"""|""",60,50,,55,,,,50
269,296,373,127,"""|""","""Shaun""","""Anderson""",23.59,"""RHP""","""R""","""R""","""professional""","""SF""","""|""",46.4,45.4,42.8,52.3,0.00,"""1""","""pergormance; giants""","""|""",385,40,"""B-""",50,,,46.7,54.2,48.6,"""|""",0,,,,,"""|""",1784,"""76""","""225""","""|""",2020,"""2020""",2019,"""|""","""Age 23, third round pick by the Boston Red Sox in 2016 from University of Florida, traded to Giants last July; combined 3.44 ERA in 123 innings between Low-A and High-A with 107/33 K/BB, 102 hits allowed; mid-rotation projection based on low-to-mid-90s solid sinking fastball, solid slider, solid change-up, solid command and control; I could type the word solid 50 times and it would apply quite well; ETA 2020.""","""Scouting grades: Fastball: 55 | Slider: 55 | Curveball: 45 | Changeup: 55 | Control: 55 | Overall: 50  The final pick (1,216th overall) in the 2013 Draft, Anderson made one start in three college seasons at Florida. That was more a testament to the Gators' incredible depth -- their 2016 staff featured as many as five first-rounders and eight pitchers who could be big league starters -- and the Red Sox planned on moving him to the rotation after selecting him in the third round that June. He made a smooth transition to starting in 2017, when he came to the Giants as part of a July trade for Eduardo Nunez.  Anderson has three solid pitches that can be plus offerings at their best. His 91-94 mph fastball tops out at 96 and generates a lot of groundouts because of its sink and the angle he creates with his 6-foot-4 frame. He has tremendous feel for his slider, a mid-80s weapon with late break that he also can morph into an upper-80s cutter.   Anderson's changeup can be just as effective as his fastball and slider because it sinks and fades and he sells it well with his arm speed. He commands all three offerings and also has a curveball he can mix in to give hitters a different look. Though he still has to prove himself at higher levels, Anderson has the look of a durable No. 3 starter and could emerge as San Francisco's best pitching prospect by season's end.""",,,,,"""|""",,,,"""|""",,,"""3rd rd 2016""","""Florida""",,"""|""",,,,,"""|""","""SFG""","""sf""","""SF""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",50,45,,50,,,,45,55,50,,55,,,,55,"""|""",,,,,,"""|""",55,55,45,55,,,,55
270,243,260,257,"""|""","""Daz""","""Cameron""",21.37,"""CF""","""R""","""R""","""professional""","""DET""","""|""",46.3,46.3,45.0,50.4,0.00,,,"""|""",405,45,"""B-""",50,,,40.7,52.1,48.2,"""|""",0,,,,,"""|""",1237,"""74""","""195""","""|""",2021,"""2021""",2019,"""|""","""Age 21, compensation round pick in 2015, son of former major leaguer Mike Cameron, came to Tigers in Verlander deal; hit .271/.351/.463 with 14 homers, 32 steals, 48 walks, 112 strikeouts in 454 at-bats in Low-A, considerably improved over poor, injury-plagued 16 campaign; speed, arm, and defense stand out; tapped his strength for field power more often in 17 thanks to swing tweaks but unclear how batting average/OBP will look against better pitching; may very well be similar to his father; ETA 2021.""","""Scouting grades: Hit: 50 | Power: 45 | Run: 55 | Arm: 55 | Field: 60 | Overall: 50  In the 2015 Draft, the Astros drafted Alex Bregman, who has a World Series ring, and Kyle Tucker, now one of the game's better prospects, in the top five picks. They saved enough money to also ink Cameron to a $4 million deal at pick No. 37. Overmatched when he gave full-season ball a try in 2016, he also struggled at the outset of 2017 before things started to click. He was finishing off a fantastic second half when he was dealt to the Tigers at the end of August in the Justin Verlander blockbuster.  The son of former big league center fielder Mike Cameron, Daz has the chance to be an impactful up-the-middle big leaguer as well. Mechancial changes that put him in a better position to hit made a huge difference and contributed directly to his turnaround at the plate. He improved his overall approach and has the chance to hit for average and could approach average power. He's not a burner, but likes to run and can steal a base, though he'll have to learn to be more efficient in the future. That speed to go along with plus defensive instincts will allow him to stay in center for the long haul.  The Tigers barely got to see Cameron following the trade, though he impressed with his work ethic and attitude at instructs. They're hopeful his second half resurgence in 2017 is just the start for him as he begins his Tigers career in earnest.""",,,,,"""|""","""CLE""",0.500,"""XXX""","""|""",,,"""1st rd 2015""","""Eagle's Landing Christian HS (GA)""",,"""|""",,,,,"""|""","""DET""","""det""","""DET""","""|""",0,0,0,0,"""|""",,,,"""|""",35,30,50,50,50,50,50,50,55,55,55,50,"""|""",,,,,,,,,,,,,,,,,"""|""",50,45,55,55,60,"""|""",,,,,,,,
271,244,261,344,"""|""","""Justin""","""Williams""",22.78,"""OF""","""L""","""R""","""professional""","""TB""","""|""",46.3,46.3,45.0,49.9,0.00,,,"""|""",405,45,"""B-""",50,,,45.0,50.7,48.9,"""|""",0,,,,,"""|""",357,"""74""","""215""","""|""",2018,"""2019""",2018,"""|""","""Age 22, second round pick by the Diamondbacks in 2013, traded to Rays in Jeremy Hellickson deal in 2014; hit .301/.364/.489 with 14 homers, 37 walks, 69 strikeouts in 366 at-bats in Double-A; stands out if you see him in person with obvious left-side strength and bat speed; has made strides tapping his natural power while improving plate discipline; lacks speed for center field but arm works well in right; ETA 2019.""","""Scouting grades: Hit: 55 | Power: 50 | Run: 45 | Arm: 50 | Field: 50 | Overall: 50  One of the youngest players in the 2013 Draft class, Williams began his pro career at age 17, after the D-backs took him in the second round. He spent two years in Arizona's system before going to Tampa Bay as part of the Jeremy Hellickson trade in November 2014. He continued his quick rise through the Minors the following year and the finished his 2016 campaign with his first taste of Double-A. Returning to the Southern League in 2017, Williams turned in his best offensive season as he hit for more average and power and tightened his approach. After the season, the Rays added him to their 40-man roster.   Williams began to tap into his raw power in his first Double-A exposure, and that trend continued in '17 in the form of a career-high 14 home runs. It's easy for scouts to forecast even more pop in his future because Williams still produces the majority of his contact on the ground, albeit while effectively using the entire field. With more lift to his swing and improved ability to turn on the ball, Williams could emerge as an annual 20-homer threat.   A shortstop in high school, Williams was quickly moved to the outfield by the D-backs. He's an underrated athlete who moves well and has the tools, including a solid-average arm, to become an adequate corner outfielder. Still scraping the surface of his offensive potential, Williams is seemingly a few adjustments away from putting it all together en route to the Major Leagues.""",,,"""http://www.youtube.com/embed/qBdkDD7U1B4?autoplay=1""",,"""|""","""PIT""",0.500,"""XXX""","""|""",,,"""2nd rd 2013""","""Terrebonne HS (LA)""",,"""|""",,,,,"""|""","""TBR""","""tb""","""TB""","""|""",0,0,0,0,"""|""",,,,"""|""",40,50,60,40,45,50,50,55,60,40,50,50,"""|""",,,,,,,,,,,,,,,,,"""|""",55,50,45,50,50,"""|""",,,,,,,,
