player_name,PitchingLine,role,spWAR,rpWAR,ovr,adj,T,stam,#pit,gb%,FIP-,vsR_FIP-,vsL_FIP-,team_abb
A.J. Blubaugh,"SP, 43 ovr / 20 adj (47 stam, 3 pit) 44 GB% | 191 vsR | 184 vsL | 189 FIP-",SP,-3.6,-1.6,43.0,20,R,47.0,3,44.0,189.0,191.0,184.0,LAD
Adrian Morejon,"RP, 58 ovr / 51 adj (16 stam, 3 pit) 57 GB% | 79 vsR | 70 vsL | 77 FIP-",RP,0.0,1.2,58.0,51,L,16.0,3,57.0,77.0,79.0,70.0,ARI
Aidan Curry,"SP, 33 ovr / 20 adj (54 stam, 0 pit) 38 GB% | 260 vsR | 282 vsL | 267 FIP-",SP,-7.9,-3.0,33.0,20,R,54.0,0,38.0,267.0,260.0,282.0,SF
Aidan Miller,"SP, 42 ovr / 20 adj (53 stam, 0 pit) 46 GB% | 397 vsR | 396 vsL | 397 FIP-",SP,-13.0,-4.7,42.0,20,R,53.0,0,46.0,397.0,397.0,396.0,SF
AJ Russell,"RP, 34 ovr / 20 adj (39 stam, 2 pit) 49 GB% | 240 vsR | 260 vsL | 249 FIP-",RP,0.0,-2.7,34.0,20,R,39.0,2,49.0,249.0,240.0,260.0,LAA
AJ Smith-Shawver,"SP, 49 ovr / 39 adj (51 stam, 4 pit) 42 GB% | 128 vsR | 128 vsL | 127 FIP-",SP,0.6,-0.2,49.0,39,R,51.0,4,42.0,127.0,128.0,128.0,CHW
Alan Rangel,"RP, 42 ovr / 20 adj (39 stam, 1 pit) 48 GB% | 183 vsR | 204 vsL | 192 FIP-",RP,0.0,-1.7,42.0,20,R,39.0,1,48.0,192.0,183.0,204.0,
Alec Burleson,"RP, 50 ovr / 20 adj (42 stam, 2 pit) 46 GB% | 239 vsR | 232 vsL | 238 FIP-",RP,0.0,-2.5,50.0,20,L,42.0,2,46.0,238.0,239.0,232.0,PIT
Alec Gamboa,"SP, 38 ovr / 20 adj (59 stam, 0 pit) 54 GB% | 206 vsR | 167 vsL | 193 FIP-",SP,-3.9,-1.7,38.0,20,L,59.0,0,54.0,193.0,206.0,167.0,
Alec Marsh,"RP, 41 ovr / 20 adj (45 stam, 2 pit) 44 GB% | 157 vsR | 207 vsL | 182 FIP-",RP,0.0,-1.5,41.0,20,R,45.0,2,44.0,182.0,157.0,207.0,TOR
Alejandro Kirk,"SP, 61 ovr / 20 adj (53 stam, 0 pit) 40 GB% | 396 vsR | 398 vsL | 397 FIP-",SP,-13.0,-4.7,61.0,20,R,53.0,0,40.0,397.0,396.0,398.0,CLE
Alejandro Rosario,"RP, 42 ovr / 20 adj (47 stam, 2 pit) 52 GB% | 180 vsR | 200 vsL | 188 FIP-",RP,0.0,-1.6,42.0,20,R,47.0,2,52.0,188.0,180.0,200.0,TB
Alek Jacob,"RP, 37 ovr / 20 adj (22 stam, 3 pit) 45 GB% | 169 vsR | 190 vsL | 178 FIP-",RP,0.0,-1.4,37.0,20,R,22.0,3,45.0,178.0,169.0,190.0,
Alek Manoah,"RP, 47 ovr / 23 adj (47 stam, 2 pit) 41 GB% | 135 vsR | 168 vsL | 151 FIP-",RP,0.0,-0.8,47.0,23,R,47.0,2,41.0,151.0,135.0,168.0,SEA
Alex Carrillo,"RP, 39 ovr / 20 adj (23 stam, 2 pit) 44 GB% | 151 vsR | 180 vsL | 165 FIP-",RP,0.0,-1.1,39.0,20,R,23.0,2,44.0,165.0,151.0,180.0,
Alex Clemmey,"RP, 34 ovr / 20 adj (43 stam, 2 pit) 55 GB% | 228 vsR | 213 vsL | 222 FIP-",RP,0.0,-2.3,34.0,20,L,43.0,2,55.0,222.0,228.0,213.0,PIT
Alex Cornwell,"SP, 38 ovr / 20 adj (53 stam, 0 pit) 65 GB% | 201 vsR | 196 vsL | 200 FIP-",SP,-4.3,-1.8,38.0,20,L,53.0,0,65.0,200.0,201.0,196.0,
Alex Faedo,"SP, 47 ovr / 24 adj (35 stam, 3 pit) 43 GB% | 137 vsR | 169 vsL | 152 FIP-",SP,-1.3,-0.8,47.0,24,R,35.0,3,43.0,152.0,137.0,169.0,
Alex Hoppe,"RP, 38 ovr / 20 adj (21 stam, 3 pit) 59 GB% | 159 vsR | 205 vsL | 180 FIP-",RP,0.0,-1.4,38.0,20,R,21.0,3,59.0,180.0,159.0,205.0,
Alex Lange,"RP, 45 ovr / 49 adj (14 stam, 4 pit) 54 GB% | 80 vsR | 85 vsL | 82 FIP-",RP,0.0,1.0,45.0,49,R,14.0,4,54.0,82.0,80.0,85.0,CHC
Alex McFarlane,"RP, 40 ovr / 20 adj (41 stam, 0 pit) 64 GB% | 189 vsR | 216 vsL | 201 FIP-",RP,0.0,-1.9,40.0,20,R,41.0,0,64.0,201.0,189.0,216.0,OAK
Alex Santos II,"RP, 36 ovr / 20 adj (40 stam, 1 pit) 45 GB% | 230 vsR | 237 vsL | 232 FIP-",RP,0.0,-2.4,36.0,20,R,40.0,1,45.0,232.0,230.0,237.0,KC
Alex Vesia,"RP, 62 ovr / 49 adj (14 stam, 3 pit) 43 GB% | 84 vsR | 77 vsL | 83 FIP-",RP,0.0,1.0,62.0,49,L,14.0,3,43.0,83.0,84.0,77.0,PIT
Alex Young,"RP, 41 ovr / 22 adj (14 stam, 1 pit) 59 GB% | 159 vsR | 122 vsL | 152 FIP-",RP,0.0,-0.8,41.0,22,L,14.0,1,59.0,152.0,159.0,122.0,
Alexander Alberto,"RP, 39 ovr / 24 adj (19 stam, 2 pit) 63 GB% | 132 vsR | 176 vsL | 149 FIP-",RP,0.0,-0.7,39.0,24,R,19.0,2,63.0,149.0,132.0,176.0,
Alexis Diaz,"RP, 46 ovr / 40 adj (15 stam, 2 pit) 38 GB% | 95 vsR | 123 vsL | 104 FIP-",RP,0.0,0.4,46.0,40,R,15.0,2,38.0,104.0,95.0,123.0,OAK
Alfonsin Rosario,"RP, 39 ovr / 20 adj (24 stam, 0 pit) 39 GB% | 397 vsR | 398 vsL | 397 FIP-",RP,0.0,-4.8,39.0,20,R,24.0,0,39.0,397.0,397.0,398.0,CLE
Alfred Morillo,"RP, 35 ovr / 20 adj (15 stam, 0 pit) 55 GB% | 182 vsR | 219 vsL | 198 FIP-",RP,0.0,-1.8,35.0,20,R,15.0,0,55.0,198.0,182.0,219.0,
Alfredo Zarraga,"RP, 38 ovr / 20 adj (19 stam, 2 pit) 49 GB% | 181 vsR | 192 vsL | 188 FIP-",RP,0.0,-1.6,38.0,20,R,19.0,2,49.0,188.0,181.0,192.0,
Alimber Santa,"SP, 40 ovr / 20 adj (39 stam, 3 pit) 44 GB% | 145 vsR | 171 vsL | 160 FIP-",SP,-1.8,-1.0,40.0,20,R,39.0,3,44.0,160.0,145.0,171.0,
Alonzo Tredwell,"SP, 41 ovr / 20 adj (58 stam, 3 pit) 47 GB% | 194 vsR | 197 vsL | 194 FIP-",SP,-4.0,-1.7,41.0,20,R,58.0,3,47.0,194.0,194.0,197.0,HOU
Amos Willingham,"RP, 39 ovr / 20 adj (19 stam, 1 pit) 44 GB% | 156 vsR | 178 vsL | 166 FIP-",RP,0.0,-1.1,39.0,20,R,19.0,1,44.0,166.0,156.0,178.0,
Anderson Brito,"RP, 36 ovr / 20 adj (45 stam, 1 pit) 49 GB% | 230 vsR | 234 vsL | 233 FIP-",RP,0.0,-2.5,36.0,20,R,45.0,1,49.0,233.0,230.0,234.0,SEA
Anderson Pilar,"RP, 37 ovr / 20 adj (24 stam, 1 pit) 52 GB% | 186 vsR | 195 vsL | 189 FIP-",RP,0.0,-1.6,37.0,20,R,24.0,1,52.0,189.0,186.0,195.0,
Anderson Severino,"RP, 40 ovr / 36 adj (21 stam, 2 pit) 61 GB% | 116 vsR | 114 vsL | 114 FIP-",RP,0.0,0.1,40.0,36,L,21.0,2,61.0,114.0,116.0,114.0,
Andre Granillo,"RP, 38 ovr / 20 adj (19 stam, 2 pit) 40 GB% | 156 vsR | 199 vsL | 172 FIP-",RP,0.0,-1.3,38.0,20,R,19.0,2,40.0,172.0,156.0,199.0,
Andre Pallante,"SP, 47 ovr / 58 adj (58 stam, 0 pit) 69 GB% | 92 vsR | 148 vsL | 99 FIP-",SP,2.8,0.5,47.0,58,R,58.0,0,69.0,99.0,92.0,148.0,CHW
Andres Munoz,"RP, 73 ovr / 61 adj (15 stam, 3 pit) 59 GB% | 48 vsR | 60 vsL | 53 FIP-",RP,0.0,2.0,73.0,61,R,15.0,3,59.0,53.0,48.0,60.0,SF
Andrew Abbott,"SP, 58 ovr / 44 adj (50 stam, 3 pit) 39 GB% | 119 vsR | 118 vsL | 119 FIP-",SP,1.2,0.0,58.0,44,L,50.0,3,39.0,119.0,119.0,118.0,LAA
Andrew Alvarez,"RP, 41 ovr / 20 adj (45 stam, 0 pit) 55 GB% | 196 vsR | 128 vsL | 176 FIP-",RP,0.0,-1.3,41.0,20,L,45.0,0,55.0,176.0,196.0,128.0,
Andrew Baker,"RP, 36 ovr / 20 adj (17 stam, 1 pit) 52 GB% | 178 vsR | 212 vsL | 196 FIP-",RP,0.0,-1.8,36.0,20,R,17.0,1,52.0,196.0,178.0,212.0,
Andrew Bechtold,"RP, 36 ovr / 20 adj (15 stam, 2 pit) 52 GB% | 175 vsR | 221 vsL | 198 FIP-",RP,0.0,-1.8,36.0,20,R,15.0,2,52.0,198.0,175.0,221.0,
Andrew Bellatti,"RP, 37 ovr / 20 adj (14 stam, 1 pit) 38 GB% | 193 vsR | 208 vsL | 199 FIP-",RP,0.0,-1.8,37.0,20,R,14.0,1,38.0,199.0,193.0,208.0,
Andrew Chafin,"RP, 40 ovr / 36 adj (14 stam, 2 pit) 43 GB% | 114 vsR | 110 vsL | 113 FIP-",RP,0.0,0.1,40.0,36,L,14.0,2,43.0,113.0,114.0,110.0,
Andrew Dutkanych,"RP, 32 ovr / 20 adj (37 stam, 1 pit) 46 GB% | 252 vsR | 265 vsL | 259 FIP-",RP,0.0,-2.9,32.0,20,R,37.0,1,46.0,259.0,252.0,265.0,LAA
Andrew Hoffmann,"RP, 39 ovr / 23 adj (20 stam, 3 pit) 52 GB% | 134 vsR | 178 vsL | 152 FIP-",RP,0.0,-0.8,39.0,23,R,20.0,3,52.0,152.0,134.0,178.0,
Andrew Kittredge,"RP, 49 ovr / 37 adj (15 stam, 2 pit) 51 GB% | 109 vsR | 113 vsL | 112 FIP-",RP,0.0,0.2,49.0,37,R,15.0,2,51.0,112.0,109.0,113.0,LAD
Andrew Lindsey,"SP, 39 ovr / 20 adj (57 stam, 0 pit) 68 GB% | 185 vsR | 216 vsL | 197 FIP-",SP,-4.1,-1.8,39.0,20,R,57.0,0,68.0,197.0,185.0,216.0,
Andrew Magno,"RP, 36 ovr / 20 adj (21 stam, 1 pit) 58 GB% | 195 vsR | 177 vsL | 189 FIP-",RP,0.0,-1.6,36.0,20,L,21.0,1,58.0,189.0,195.0,177.0,
Andrew Moore,"RP, 36 ovr / 20 adj (23 stam, 2 pit) 42 GB% | 193 vsR | 204 vsL | 199 FIP-",RP,0.0,-1.8,36.0,20,R,23.0,2,42.0,199.0,193.0,204.0,
Andrew Morris,"RP, 44 ovr / 20 adj (48 stam, 1 pit) 50 GB% | 158 vsR | 181 vsL | 167 FIP-",RP,0.0,-1.2,44.0,20,R,48.0,1,50.0,167.0,158.0,181.0,PHI
Andrew Nardi,"RP, 49 ovr / 43 adj (14 stam, 3 pit) 36 GB% | 106 vsR | 79 vsL | 97 FIP-",RP,0.0,0.6,49.0,43,L,14.0,3,36.0,97.0,106.0,79.0,HOU
Andrew Painter,"SP, 51 ovr / 44 adj (64 stam, 4 pit) 75 GB% | 110 vsR | 134 vsL | 119 FIP-",SP,1.2,0.0,51.0,44,R,64.0,4,75.0,119.0,110.0,134.0,BOS
Andrew Politi,"RP, 37 ovr / 20 adj (21 stam, 0 pit) 44 GB% | 194 vsR | 202 vsL | 198 FIP-",RP,0.0,-1.8,37.0,20,R,21.0,0,44.0,198.0,194.0,202.0,
Andrew Saalfrank,"RP, 38 ovr / 39 adj (20 stam, 2 pit) 68 GB% | 110 vsR | 98 vsL | 106 FIP-",RP,0.0,0.3,38.0,39,L,20.0,2,68.0,106.0,110.0,98.0,
Andrew Sears,"SP, 39 ovr / 20 adj (58 stam, 0 pit) 52 GB% | 207 vsR | 190 vsL | 200 FIP-",SP,-4.3,-1.8,39.0,20,L,58.0,0,52.0,200.0,207.0,190.0,
Andrew Taylor,"RP, 34 ovr / 20 adj (44 stam, 0 pit) 48 GB% | 254 vsR | 260 vsL | 257 FIP-",RP,0.0,-2.9,34.0,20,R,44.0,0,48.0,257.0,254.0,260.0,NYY
Andrew Walters,"RP, 46 ovr / 41 adj (15 stam, 3 pit) 44 GB% | 93 vsR | 131 vsL | 102 FIP-",RP,0.0,0.4,46.0,41,R,15.0,3,44.0,102.0,93.0,131.0,WAS
Andrew Wantz,"RP, 38 ovr / 20 adj (23 stam, 2 pit) 46 GB% | 171 vsR | 199 vsL | 186 FIP-",RP,0.0,-1.5,38.0,20,R,23.0,2,46.0,186.0,171.0,199.0,
Andry Lara,"RP, 36 ovr / 20 adj (42 stam, 1 pit) 51 GB% | 167 vsR | 236 vsL | 198 FIP-",RP,0.0,-1.8,36.0,20,R,42.0,1,51.0,198.0,167.0,236.0,KC
Aneurys Zabala,"RP, 38 ovr / 20 adj (20 stam, 2 pit) 54 GB% | 175 vsR | 189 vsL | 180 FIP-",RP,0.0,-1.4,38.0,20,R,20.0,2,54.0,180.0,175.0,189.0,
Angel Bastardo,"SP, 42 ovr / 20 adj (51 stam, 4 pit) 52 GB% | 188 vsR | 194 vsL | 191 FIP-",SP,-3.8,-1.7,42.0,20,R,51.0,4,52.0,191.0,188.0,194.0,CHW
Angel Chivilli,"RP, 38 ovr / 20 adj (16 stam, 1 pit) 56 GB% | 183 vsR | 181 vsL | 182 FIP-",RP,0.0,-1.5,38.0,20,R,16.0,1,56.0,182.0,183.0,181.0,
Angel Felipe,"RP, 41 ovr / 42 adj (20 stam, 3 pit) 71 GB% | 90 vsR | 134 vsL | 100 FIP-",RP,0.0,0.5,41.0,42,R,20.0,3,71.0,100.0,90.0,134.0,
Angel Perdomo,"RP, 38 ovr / 23 adj (16 stam, 3 pit) 45 GB% | 156 vsR | 128 vsL | 150 FIP-",RP,0.0,-0.8,38.0,23,L,16.0,3,45.0,150.0,156.0,128.0,
Angel Zerpa,"RP, 48 ovr / 37 adj (28 stam, 2 pit) 64 GB% | 116 vsR | 98 vsL | 110 FIP-",RP,0.0,0.2,48.0,37,L,28.0,2,64.0,110.0,116.0,98.0,KC
Anthony Banda,"RP, 39 ovr / 20 adj (19 stam, 1 pit) 49 GB% | 178 vsR | 178 vsL | 178 FIP-",RP,0.0,-1.4,39.0,20,L,19.0,1,49.0,178.0,178.0,178.0,SEA
Anthony Bender,"RP, 49 ovr / 44 adj (14 stam, 2 pit) 66 GB% | 81 vsR | 150 vsL | 95 FIP-",RP,0.0,0.7,49.0,44,R,14.0,2,66.0,95.0,81.0,150.0,PHI
Anthony DeSclafani,"SP, 43 ovr / 20 adj (52 stam, 1 pit) 55 GB% | 178 vsR | 186 vsL | 180 FIP-",SP,-3.1,-1.4,43.0,20,R,52.0,1,55.0,180.0,178.0,186.0,
Anthony Eyanson,"SP, 37 ovr / 20 adj (59 stam, 0 pit) 50 GB% | 226 vsR | 237 vsL | 232 FIP-",SP,-6.1,-2.4,37.0,20,R,59.0,0,50.0,232.0,226.0,237.0,LAD
Anthony Kay,"SP, 47 ovr / 42 adj (57 stam, 4 pit) 53 GB% | 126 vsR | 114 vsL | 123 FIP-",SP,0.9,-0.1,47.0,42,L,57.0,4,53.0,123.0,126.0,114.0,MIL
Anthony Maldonado,"RP, 39 ovr / 24 adj (20 stam, 2 pit) 51 GB% | 115 vsR | 178 vsL | 148 FIP-",RP,0.0,-0.7,39.0,24,R,20.0,2,51.0,148.0,115.0,178.0,
Anthony Molina,"RP, 37 ovr / 20 adj (24 stam, 0 pit) 46 GB% | 202 vsR | 166 vsL | 187 FIP-",RP,0.0,-1.6,37.0,20,R,24.0,0,46.0,187.0,202.0,166.0,
Anthony Nunez,"RP, 42 ovr / 31 adj (20 stam, 4 pit) 52 GB% | 114 vsR | 143 vsL | 129 FIP-",RP,0.0,-0.3,42.0,31,R,20.0,4,52.0,129.0,114.0,143.0,
Anthony Solometo,"SP, 35 ovr / 20 adj (56 stam, 0 pit) 56 GB% | 207 vsR | 184 vsL | 202 FIP-",SP,-4.4,-1.9,35.0,20,L,56.0,0,56.0,202.0,207.0,184.0,NYY
Antoine Kelly,"RP, 38 ovr / 20 adj (30 stam, 2 pit) 50 GB% | 176 vsR | 120 vsL | 165 FIP-",RP,0.0,-1.1,38.0,20,L,30.0,2,50.0,165.0,176.0,120.0,
Antonio Jimenez,"RP, 37 ovr / 20 adj (24 stam, 0 pit) 50 GB% | 211 vsR | 143 vsL | 197 FIP-",RP,0.0,-1.8,37.0,20,L,24.0,0,50.0,197.0,211.0,143.0,
Antonio Menendez,"RP, 36 ovr / 20 adj (23 stam, 0 pit) 54 GB% | 158 vsR | 202 vsL | 173 FIP-",RP,0.0,-1.3,36.0,20,R,23.0,0,54.0,173.0,158.0,202.0,
Antwone Kelly,"SP, 41 ovr / 20 adj (53 stam, 1 pit) 50 GB% | 182 vsR | 208 vsL | 194 FIP-",SP,-4.0,-1.7,41.0,20,R,53.0,1,50.0,194.0,182.0,208.0,WAS
Aroldis Chapman,"RP, 72 ovr / 61 adj (14 stam, 3 pit) 50 GB% | 58 vsR | 46 vsL | 55 FIP-",RP,0.0,1.9,72.0,61,L,14.0,3,50.0,55.0,58.0,46.0,BAL
Austin Adams,"RP, 39 ovr / 44 adj (11 stam, 2 pit) 42 GB% | 90 vsR | 99 vsL | 94 FIP-",RP,0.0,0.7,39.0,44,R,11.0,2,42.0,94.0,90.0,99.0,
Austin Davis,"RP, 36 ovr / 22 adj (15 stam, 3 pit) 50 GB% | 160 vsR | 136 vsL | 155 FIP-",RP,0.0,-0.9,36.0,22,L,15.0,3,50.0,155.0,160.0,136.0,
Austin Gomber,"SP, 42 ovr / 20 adj (53 stam, 0 pit) 44 GB% | 169 vsR | 172 vsL | 169 FIP-",SP,-2.4,-1.2,42.0,20,L,53.0,0,44.0,169.0,169.0,172.0,
Austin Kitchen,"RP, 36 ovr / 20 adj (23 stam, 0 pit) 61 GB% | 186 vsR | 149 vsL | 177 FIP-",RP,0.0,-1.4,36.0,20,L,23.0,0,61.0,177.0,186.0,149.0,
Austin Love,"RP, 38 ovr / 20 adj (41 stam, 2 pit) 48 GB% | 177 vsR | 202 vsL | 187 FIP-",RP,0.0,-1.6,38.0,20,R,41.0,2,48.0,187.0,177.0,202.0,
Austin Pope,"RP, 38 ovr / 20 adj (20 stam, 2 pit) 45 GB% | 145 vsR | 178 vsL | 159 FIP-",RP,0.0,-1.0,38.0,20,R,20.0,2,45.0,159.0,145.0,178.0,
Austin Riley,"RP, 59 ovr / 20 adj (22 stam, 0 pit) 54 GB% | 383 vsR | 398 vsL | 388 FIP-",RP,0.0,-4.7,59.0,20,R,22.0,0,54.0,388.0,383.0,398.0,HOU
Austin Roberts,"RP, 37 ovr / 20 adj (20 stam, 1 pit) 48 GB% | 181 vsR | 197 vsL | 191 FIP-",RP,0.0,-1.7,37.0,20,R,20.0,1,48.0,191.0,181.0,197.0,
Austin Voth,"RP, 42 ovr / 21 adj (43 stam, 0 pit) 46 GB% | 133 vsR | 182 vsL | 156 FIP-",RP,0.0,-0.9,42.0,21,R,43.0,0,46.0,156.0,133.0,182.0,
Austin Warren,"RP, 38 ovr / 20 adj (18 stam, 2 pit) 46 GB% | 144 vsR | 188 vsL | 167 FIP-",RP,0.0,-1.2,38.0,20,R,18.0,2,46.0,167.0,144.0,188.0,
Avery Weems,"RP, 41 ovr / 20 adj (44 stam, 2 pit) 75 GB% | 183 vsR | 155 vsL | 174 FIP-",RP,0.0,-1.3,41.0,20,L,44.0,2,75.0,174.0,183.0,155.0,
Bailey Falter,"SP, 46 ovr / 20 adj (65 stam, 0 pit) 43 GB% | 167 vsR | 144 vsL | 160 FIP-",SP,-1.8,-1.0,46.0,20,L,65.0,0,43.0,160.0,167.0,144.0,ARI
Bailey Horn,"RP, 38 ovr / 20 adj (20 stam, 2 pit) 51 GB% | 183 vsR | 166 vsL | 177 FIP-",RP,0.0,-1.4,38.0,20,L,20.0,2,51.0,177.0,183.0,166.0,
Bailey Ober,"SP, 50 ovr / 33 adj (64 stam, 3 pit) 38 GB% | 127 vsR | 145 vsL | 136 FIP-",SP,-0.1,-0.4,50.0,33,R,64.0,3,38.0,136.0,127.0,145.0,NYM
Barrett Kent,"SP, 34 ovr / 20 adj (63 stam, 1 pit) 44 GB% | 254 vsR | 281 vsL | 265 FIP-",SP,-7.8,-3.0,34.0,20,R,63.0,1,44.0,265.0,254.0,281.0,NYY
Beau Brieske,"RP, 45 ovr / 20 adj (30 stam, 1 pit) 45 GB% | 169 vsR | 173 vsL | 169 FIP-",RP,0.0,-1.2,45.0,20,R,30.0,1,45.0,169.0,169.0,173.0,LAA
Beau Burrows,"RP, 38 ovr / 20 adj (36 stam, 1 pit) 36 GB% | 121 vsR | 196 vsL | 162 FIP-",RP,0.0,-1.0,38.0,20,R,36.0,1,36.0,162.0,121.0,196.0,
Beck Way,"RP, 36 ovr / 20 adj (31 stam, 0 pit) 53 GB% | 170 vsR | 235 vsL | 195 FIP-",RP,0.0,-1.7,36.0,20,R,31.0,0,53.0,195.0,170.0,235.0,
Ben Abeldt,"RP, 37 ovr / 20 adj (18 stam, 2 pit) 61 GB% | 192 vsR | 126 vsL | 175 FIP-",RP,0.0,-1.3,37.0,20,L,18.0,2,61.0,175.0,192.0,126.0,
Ben Bowden,"RP, 37 ovr / 20 adj (16 stam, 2 pit) 44 GB% | 185 vsR | 167 vsL | 180 FIP-",RP,0.0,-1.4,37.0,20,L,16.0,2,44.0,180.0,185.0,167.0,
Ben Brown,"SP, 49 ovr / 31 adj (44 stam, 3 pit) 44 GB% | 140 vsR | 141 vsL | 140 FIP-",SP,-0.4,-0.5,49.0,31,R,44.0,3,44.0,140.0,140.0,141.0,STL
Ben Casparius,"RP, 47 ovr / 22 adj (42 stam, 2 pit) 39 GB% | 140 vsR | 177 vsL | 155 FIP-",RP,0.0,-0.9,47.0,22,R,42.0,2,39.0,155.0,140.0,177.0,LAD
Ben Heller,"RP, 37 ovr / 20 adj (17 stam, 2 pit) 49 GB% | 191 vsR | 197 vsL | 191 FIP-",RP,0.0,-1.7,37.0,20,R,17.0,2,49.0,191.0,191.0,197.0,
Ben Hess,"SP, 45 ovr / 20 adj (49 stam, 4 pit) 54 GB% | 162 vsR | 170 vsL | 165 FIP-",SP,-2.1,-1.1,45.0,20,R,49.0,4,54.0,165.0,162.0,170.0,CIN
Ben Jacobs,"SP, 35 ovr / 20 adj (59 stam, 0 pit) 46 GB% | 254 vsR | 246 vsL | 251 FIP-",SP,-7.1,-2.8,35.0,20,L,59.0,0,46.0,251.0,254.0,246.0,MIN
Ben Joyce,"RP, 53 ovr / 52 adj (16 stam, 2 pit) 64 GB% | 74 vsR | 77 vsL | 76 FIP-",RP,0.0,1.2,53.0,52,R,16.0,2,64.0,76.0,74.0,77.0,SEA
Ben Kudrna,"RP, 39 ovr / 20 adj (42 stam, 1 pit) 50 GB% | 167 vsR | 227 vsL | 186 FIP-",RP,0.0,-1.6,39.0,20,R,42.0,1,50.0,186.0,167.0,227.0,TOR
